"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2000",6.5,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2001",7.1,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2002",6.8,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2003",6.4,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2004",5.3,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2005",5.2,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2006",4.8,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2007",4.3,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2008",4.2,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2009",6.5,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2010",5.1,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2011",4.6,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2012",4.9,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2013",5.8,
"AUS","FBORNUNEMP","MEN","PC_FBORNLF","A","2014",5.6,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2000",6.7,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2001",7.3,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2002",6.8,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2003",6.4,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2004",5.5,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2005",5.3,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2006",5.1,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2007",4.9,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2008",4.6,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2009",6.7,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2010",5.5,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2011",5.2,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2012",5.4,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2013",5.9,
"AUS","FBORNUNEMP","TOT","PC_FBORNLF","A","2014",6.1,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2000",6.9,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2001",7.5,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2002",6.9,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2003",6.3,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2004",5.9,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2005",5.5,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2006",5.4,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2007",5.5,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2008",5.2,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2009",6.8,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2010",6.1,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2011",6,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2012",6,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2013",6.1,
"AUS","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2014",6.6,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2000",8.7,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2001",7.6,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2002",10,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2003",9.5,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2004",11.2,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2005",10.8,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2006",9.7,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2007",8.4,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2008",7.3,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2009",10.7,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2010",8.8,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2011",8,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2012",8.7,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2013",9.6,
"AUT","FBORNUNEMP","MEN","PC_FBORNLF","A","2014",10.8,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2000",8,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2001",7.5,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2002",8.7,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2003",8.3,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2004",11,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2005",10.6,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2006",9.8,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2007",9,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2008",7.5,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2009",9.5,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2010",8.2,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2011",8.2,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2012",8.3,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2013",9.3,
"AUT","FBORNUNEMP","TOT","PC_FBORNLF","A","2014",10.1,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2000",7.2,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2001",7.3,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2002",7.1,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2003",6.7,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2004",10.7,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2005",10.5,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2006",9.8,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2007",9.7,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2008",7.8,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2009",8.2,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2010",7.6,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2011",8.3,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2012",7.7,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2013",8.9,
"AUT","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2014",9.5,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2000",14.7,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2001",13.7,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2002",16.3,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2003",18.3,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2004",14.9,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2005",15.7,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2006",15.8,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2007",15.8,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2008",14.3,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2009",16.3,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2010",16.9,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2011",15.5,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2012",17.6,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2013",18.2,
"BEL","FBORNUNEMP","MEN","PC_FBORNLF","A","2014",18.7,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2000",15.8,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2001",14.4,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2002",16.7,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2003",17.8,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2004",14.9,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2005",17,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2006",17.3,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2007",16.4,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2008",14.6,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2009",16.2,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2010",17.1,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2011",15.1,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2012",16.9,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2013",17.2,
"BEL","FBORNUNEMP","TOT","PC_FBORNLF","A","2014",17.6,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2000",17.5,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2001",15.4,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2002",17.3,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2003",17.3,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2004",15,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2005",18.9,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2006",19.3,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2007",17.2,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2008",14.9,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2009",16.1,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2010",17.3,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2011",14.6,
"BEL","FBORNUNEMP","WOMEN","PC_FBORNLF","A","2012",15.9,
