"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","FPOP","TOT","PC_POP","A","1995",8.518,
"AUT","FPOP","TOT","PC_POP","A","1996",8.565,
"AUT","FPOP","TOT","PC_POP","A","1997",8.577,
"AUT","FPOP","TOT","PC_POP","A","1998",8.606,
"AUT","FPOP","TOT","PC_POP","A","1999",8.683,
"AUT","FPOP","TOT","PC_POP","A","2000",8.759,
"AUT","FPOP","TOT","PC_POP","A","2001",9.08,
"AUT","FPOP","TOT","PC_POP","A","2002",9.24,
"AUT","FPOP","TOT","PC_POP","A","2003",9.29,
"AUT","FPOP","TOT","PC_POP","A","2004",9.479,
"AUT","FPOP","TOT","PC_POP","A","2005",9.686,
"AUT","FPOP","TOT","PC_POP","A","2006",9.734,
"AUT","FPOP","TOT","PC_POP","A","2007",10.002,
"AUT","FPOP","TOT","PC_POP","A","2008",10.335,
"AUT","FPOP","TOT","PC_POP","A","2009",10.593,
"AUT","FPOP","TOT","PC_POP","A","2010",10.922,
"AUT","FPOP","TOT","PC_POP","A","2011",11.342,
"AUT","FPOP","TOT","PC_POP","A","2012",11.918,
"AUT","FPOP","TOT","PC_POP","A","2013",12.589,
"BEL","FPOP","TOT","PC_POP","A","1984",9.106,
"BEL","FPOP","TOT","PC_POP","A","1985",8.586,
"BEL","FPOP","TOT","PC_POP","A","1986",8.649,
"BEL","FPOP","TOT","PC_POP","A","1987",8.733,
"BEL","FPOP","TOT","PC_POP","A","1988",8.751,
"BEL","FPOP","TOT","PC_POP","A","1989",8.854,
"BEL","FPOP","TOT","PC_POP","A","1990",9.057,
"BEL","FPOP","TOT","PC_POP","A","1991",9.205,
"BEL","FPOP","TOT","PC_POP","A","1992",9.031,
"BEL","FPOP","TOT","PC_POP","A","1993",9.114,
"BEL","FPOP","TOT","PC_POP","A","1994",9.1,
"BEL","FPOP","TOT","PC_POP","A","1995",9,
"BEL","FPOP","TOT","PC_POP","A","1996",8.967,
"BEL","FPOP","TOT","PC_POP","A","1997",8.861,
"BEL","FPOP","TOT","PC_POP","A","1998",8.7,
"BEL","FPOP","TOT","PC_POP","A","1999",8.8,
"BEL","FPOP","TOT","PC_POP","A","2000",8.4,
"BEL","FPOP","TOT","PC_POP","A","2001",8.231,
"BEL","FPOP","TOT","PC_POP","A","2002",8.227,
"BEL","FPOP","TOT","PC_POP","A","2003",8.291,
"BEL","FPOP","TOT","PC_POP","A","2004",8.357,
"BEL","FPOP","TOT","PC_POP","A","2005",8.593,
"BEL","FPOP","TOT","PC_POP","A","2006",8.837,
"BEL","FPOP","TOT","PC_POP","A","2007",9.142,
"BEL","FPOP","TOT","PC_POP","A","2008",9.461,
"BEL","FPOP","TOT","PC_POP","A","2009",9.796,
"BEL","FPOP","TOT","PC_POP","A","2010",10.249,
"BEL","FPOP","TOT","PC_POP","A","2011",10.634,
"BEL","FPOP","TOT","PC_POP","A","2012",10.798,
"BEL","FPOP","TOT","PC_POP","A","2013",10.917,
"DNK","FPOP","TOT","PC_POP","A","1984",2.108,
"DNK","FPOP","TOT","PC_POP","A","1985",2.286,
"DNK","FPOP","TOT","PC_POP","A","1986",2.503,
"DNK","FPOP","TOT","PC_POP","A","1987",2.655,
"DNK","FPOP","TOT","PC_POP","A","1988",2.768,
"DNK","FPOP","TOT","PC_POP","A","1989",2.934,
"DNK","FPOP","TOT","PC_POP","A","1990",3.122,
"DNK","FPOP","TOT","PC_POP","A","1991",3.284,
"DNK","FPOP","TOT","PC_POP","A","1992",3.48,
"DNK","FPOP","TOT","PC_POP","A","1993",3.64,
"DNK","FPOP","TOT","PC_POP","A","1994",3.8,
"DNK","FPOP","TOT","PC_POP","A","1995",4.2,
"DNK","FPOP","TOT","PC_POP","A","1996",4.7,
"DNK","FPOP","TOT","PC_POP","A","1997",4.7,
"DNK","FPOP","TOT","PC_POP","A","1998",4.8,
"DNK","FPOP","TOT","PC_POP","A","1999",4.88,
"DNK","FPOP","TOT","PC_POP","A","2000",4.8,
"DNK","FPOP","TOT","PC_POP","A","2001",4.977,
"DNK","FPOP","TOT","PC_POP","A","2002",4.937,
"DNK","FPOP","TOT","PC_POP","A","2003",5.031,
"DNK","FPOP","TOT","PC_POP","A","2004",4.951,
"DNK","FPOP","TOT","PC_POP","A","2005",4.983,
"DNK","FPOP","TOT","PC_POP","A","2006",5.115,
"DNK","FPOP","TOT","PC_POP","A","2007",5.465,
"DNK","FPOP","TOT","PC_POP","A","2008",5.828,
"DNK","FPOP","TOT","PC_POP","A","2009",5.974,
"DNK","FPOP","TOT","PC_POP","A","2010",6.238,
"DNK","FPOP","TOT","PC_POP","A","2011",6.442,
"DNK","FPOP","TOT","PC_POP","A","2012",6.701,
"DNK","FPOP","TOT","PC_POP","A","2013",7.076,
"FIN","FPOP","TOT","PC_POP","A","1984",0.343,
"FIN","FPOP","TOT","PC_POP","A","1985",0.347,
"FIN","FPOP","TOT","PC_POP","A","1986",0.351,
"FIN","FPOP","TOT","PC_POP","A","1987",0.359,
"FIN","FPOP","TOT","PC_POP","A","1988",0.377,
"FIN","FPOP","TOT","PC_POP","A","1989",0.426,
"FIN","FPOP","TOT","PC_POP","A","1990",0.525,
"FIN","FPOP","TOT","PC_POP","A","1991",0.8,
"FIN","FPOP","TOT","PC_POP","A","1992",0.904,
"FIN","FPOP","TOT","PC_POP","A","1993",1.1,
"FIN","FPOP","TOT","PC_POP","A","1994",1.2,
"FIN","FPOP","TOT","PC_POP","A","1995",1.3,
"FIN","FPOP","TOT","PC_POP","A","1996",1.4,
"FIN","FPOP","TOT","PC_POP","A","1997",1.6,
"FIN","FPOP","TOT","PC_POP","A","1998",1.6,
"FIN","FPOP","TOT","PC_POP","A","1999",1.7,
"FIN","FPOP","TOT","PC_POP","A","2000",1.758,
"FIN","FPOP","TOT","PC_POP","A","2001",1.9,
"FIN","FPOP","TOT","PC_POP","A","2002",1.994,
"FIN","FPOP","TOT","PC_POP","A","2003",2.053,
"FIN","FPOP","TOT","PC_POP","A","2004",2.072,
"FIN","FPOP","TOT","PC_POP","A","2005",2.17,
"FIN","FPOP","TOT","PC_POP","A","2006",2.311,
"FIN","FPOP","TOT","PC_POP","A","2007",2.509,
