"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","NATAREADIST","URBAN","PC","A","2012",2.91,
"IRL","NATAREADIST","URBAN","PC","A","2012",1.34,
"KOR","NATAREADIST","URBAN","PC","A","2012",15.53,
"NLD","NATAREADIST","URBAN","PC","A","2012",65.87,
"DNK","NATAREADIST","URBAN","PC","A","2012",4.56,
"DEU","NATAREADIST","URBAN","PC","A","2012",27.28,
"ISL","NATAREADIST","URBAN","PC","A","2012",0,
"JPN","NATAREADIST","URBAN","PC","A","2012",15.14,
"BEL","NATAREADIST","URBAN","PC","A","2012",60.63,
"SWE","NATAREADIST","URBAN","PC","A","2012",1.59,
"GBR","NATAREADIST","URBAN","PC","A","2012",21.67,
"ITA","NATAREADIST","URBAN","PC","A","2012",24.05,
"NZL","NATAREADIST","URBAN","PC","A","2012",4.73,
"PRT","NATAREADIST","URBAN","PC","A","2012",8.64,
"EST","NATAREADIST","URBAN","PC","A","2012",7.75,
"AUT","NATAREADIST","URBAN","PC","A","2012",1.31,
"CZE","NATAREADIST","URBAN","PC","A","2012",0.63,
"FRA","NATAREADIST","URBAN","PC","A","2012",8.75,
"HUN","NATAREADIST","URBAN","PC","A","2012",0.56,
"CHL","NATAREADIST","URBAN","PC","A","2012",1.96,
"SVN","NATAREADIST","URBAN","PC","A","2012",0,
"POL","NATAREADIST","URBAN","PC","A","2012",2.48,
"ESP","NATAREADIST","URBAN","PC","A","2012",14.43,
"TUR","NATAREADIST","URBAN","PC","A","2012",21.04,
"MEX","NATAREADIST","URBAN","PC","A","2012",5.72,
"NOR","NATAREADIST","URBAN","PC","A","2012",0.14,
"SVK","NATAREADIST","URBAN","PC","A","2012",4.19,
"CHE","NATAREADIST","URBAN","PC","A","2012",12.14,
"AUS","NATAREADIST","URBAN","PC","A","2012",0.39,
"CAN","NATAREADIST","URBAN","PC","A","2012",0.63,
"FIN","NATAREADIST","URBAN","PC","A","2012",2.99,
"USA","NATAREADIST","URBAN","PC","A","2012",12.77,
"OECD","NATAREADIST","URBAN","PC","A","2012",6.01,
