"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","NATPOPDIST","URBAN","PC","A","2012",22.11,
"ESP","NATPOPDIST","URBAN","PC","A","2012",48.12,
"TUR","NATPOPDIST","URBAN","PC","A","2012",51.56,
"MEX","NATPOPDIST","URBAN","PC","A","2012",46.33,
"NOR","NATPOPDIST","URBAN","PC","A","2012",12.3,
"SVK","NATPOPDIST","URBAN","PC","A","2012",11.22,
"CHE","NATPOPDIST","URBAN","PC","A","2012",41.55,
"DNK","NATPOPDIST","URBAN","PC","A","2012",29.98,
"DEU","NATPOPDIST","URBAN","PC","A","2012",57.13,
"ISL","NATPOPDIST","URBAN","PC","A","2012",0,
"JPN","NATPOPDIST","URBAN","PC","A","2012",56.33,
"BEL","NATPOPDIST","URBAN","PC","A","2012",83.33,
"SWE","NATPOPDIST","URBAN","PC","A","2012",22.06,
"GBR","NATPOPDIST","URBAN","PC","A","2012",69.97,
"ITA","NATPOPDIST","URBAN","PC","A","2012",52.82,
"NZL","NATPOPDIST","URBAN","PC","A","2012",45.07,
"PRT","NATPOPDIST","URBAN","PC","A","2012",52.84,
"EST","NATPOPDIST","URBAN","PC","A","2012",12.43,
"AUT","NATPOPDIST","URBAN","PC","A","2012",23.86,
"CZE","NATPOPDIST","URBAN","PC","A","2012",11.82,
"FRA","NATPOPDIST","URBAN","PC","A","2012",34.73,
"HUN","NATPOPDIST","URBAN","PC","A","2012",17.47,
"CHL","NATPOPDIST","URBAN","PC","A","2012",49.11,
"SVN","NATPOPDIST","URBAN","PC","A","2012",0,
"AUS","NATPOPDIST","URBAN","PC","A","2012",57.72,
"CAN","NATPOPDIST","URBAN","PC","A","2012",56.43,
"FIN","NATPOPDIST","URBAN","PC","A","2012",28.68,
"USA","NATPOPDIST","URBAN","PC","A","2012",42.05,
"GRC","NATPOPDIST","URBAN","PC","A","2012",36.4,
"IRL","NATPOPDIST","URBAN","PC","A","2012",27.55,
"KOR","NATPOPDIST","URBAN","PC","A","2012",69.58,
"NLD","NATPOPDIST","URBAN","PC","A","2012",85.08,
"OECD","NATPOPDIST","URBAN","PC","A","2012",48.03,
