"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2000",78.6,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2001",77.7,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2002",78.1,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2003",78.7,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2004",79.2,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2005",79.9,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2006",80.2,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2007",80.8,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2008",80.7,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2009",78.8,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2010",79.2,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2011",78.9,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2012",78.4,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2013",78,
"AUS","NBORNEMP","MEN","PC_NBORNPOP","A","2014",77.2,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2000",71.2,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2001",71.2,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2002",71.4,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2003",72.3,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2004",72.4,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2005",73.5,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2006",74.1,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2007",74.8,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2008",75,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2009",73.9,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2010",73.9,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2011",73.9,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2012",73.6,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2013",73.3,
"AUS","NBORNEMP","TOT","PC_NBORNPOP","A","2014",72.7,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2000",63.9,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2001",64.6,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2002",64.8,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2003",65.8,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2004",65.5,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2005",67.1,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2006",68.1,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2007",68.8,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2008",69.2,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2009",69,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2010",68.5,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2011",68.8,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2012",68.8,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2013",68.6,
"AUS","NBORNEMP","WOMEN","PC_NBORNPOP","A","2014",68.3,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2000",76.2,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2001",75.8,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2002",75.5,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2003",75.4,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2004",73.4,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2005",76.2,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2006",77.8,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2007",79.1,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2008",79.2,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2009",77.7,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2010",77.9,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2011",78.3,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2012",78.4,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2013",77.7,
"AUT","NBORNEMP","MEN","PC_NBORNPOP","A","2014",76.2,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2000",68,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2001",68,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2002",68.4,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2003",68.3,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2004",67.4,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2005",69.9,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2006",71.6,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2007",72.7,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2008",73.6,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2009",73.1,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2010",72.9,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2011",73.3,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2012",73.8,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2013",73.7,
"AUT","NBORNEMP","TOT","PC_NBORNPOP","A","2014",72.6,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2000",59.9,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2001",60.2,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2002",61.3,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2003",61.3,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2004",61.4,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2005",63.5,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2006",65.3,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2007",66.3,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2008",67.9,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2009",68.4,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2010",67.9,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2011",68.2,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2012",69.2,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2013",69.6,
"AUT","NBORNEMP","WOMEN","PC_NBORNPOP","A","2014",68.9,
"BEL","NBORNEMP","MEN","PC_NBORNPOP","A","2000",70.8,
