"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2000",76,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",76.2,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",76.3,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",76.8,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",76.6,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",77.4,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",77.9,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2007",78.2,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",78.3,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",78.1,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",78,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",77.9,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",77.8,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",77.8,
"AUS","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",77.6,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2000",71.1,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",70.5,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",71.5,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",71.3,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",70.4,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",72.9,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",74.4,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2007",75.4,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",76,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",76.1,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",75.7,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",75.9,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",76.5,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",76.8,
"AUT","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",76.1,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2000",66,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",64.7,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",64.9,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",65.3,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",66.2,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",67.7,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",67.4,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2007",67.9,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",67.7,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",67.7,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",68.3,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",67.6,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",67.8,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",68.3,
"BEL","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",68.5,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",79.1,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",78.6,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",78.3,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",78.5,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",78.3,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",78.4,
"CAN","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",78.2,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",70,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",70.5,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",70.3,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",70,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",70.4,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",70.4,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2007",69.8,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2008",69.6,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2009",70,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2010",70.1,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2011",70.6,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2012",71.6,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2013",73,
"CZE","NBORNPARTICIP","TOT","PC_NBORNLF","A","2014",73.4,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2000",80.9,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2001",79.9,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2002",80.7,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2003",80.4,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2004",81.3,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2005",80.6,
"DNK","NBORNPARTICIP","TOT","PC_NBORNLF","A","2006",81.4,
