"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2000",6.6,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2001",7.1,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2002",6.6,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2003",5.8,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2004",5.4,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2005",4.9,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2006",4.7,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2007",4.1,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2008",4,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2009",5.6,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2010",5.3,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2011",5.2,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2012",5.4,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2013",5.9,
"AUS","NBORNUNEMP","MEN","PC_NBORNLF","A","2014",6.3,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2000",6.3,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2001",6.7,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2002",6.3,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2003",5.9,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2004",5.5,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2005",5,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2006",4.8,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2007",4.3,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2008",4.2,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2009",5.4,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2010",5.2,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2011",5.2,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2012",5.3,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2013",5.7,
"AUS","NBORNUNEMP","TOT","PC_NBORNLF","A","2014",6.2,
"AUS","NBORNUNEMP","WOMEN","PC_NBORNLF","A","2000",5.9,
"AUS","NBORNUNEMP","WOMEN","PC_NBORNLF","A","2001",6.2,
"AUS","NBORNUNEMP","WOMEN","PC_NBORNLF","A","2002",6,
"AUS","NBORNUNEMP","WOMEN","PC_NBORNLF","A","2003",5.9,
