"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONEXP","PUB","PC_GDP","A","1980",3.5867706808619,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1981",3.5487669519234,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1982",3.6691073823377,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1983",3.6190357680829,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1984",3.5527692928607,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1985",3.3892863028872,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1986",3.2790309135237,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1987",3.2223699363386,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1988",2.8768754465349,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1989",2.8377387212842,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1990",3.0775148014579,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1991",3.1972210142187,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1992",3.1989283518285,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1993",3.2947376203252,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1994",3.1558491053029,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1995",3.6470762277953,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1996",3.6110732229369,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1997",3.476509166968,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1998",3.4573075714481,
"AUS","PENSIONEXP","PUB","PC_GDP","A","1999",3.2282840444326,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2000",3.790997554837,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2001",3.3457182785154,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2002",3.356857931221,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2003",3.3695551367682,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2004",3.504100638337,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2005",3.3466103783185,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2006",3.347520998938,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2007",3.3708836322429,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2008",3.5517624382872,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2009",3.4583417417251,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2010",3.4389746429691,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2011",3.5082443571001,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1980",10.46510270862,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1985",11.391741760291,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1990",11.389761026631,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1991",11.480861401344,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1992",11.548984486676,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1993",12.064484229067,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1994",12.321099686579,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1995",12.333023905911,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1996",12.381442431829,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1997",12.361251692276,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1998",12.24501362314,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1999",12.313155054185,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2000",12.222520653193,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2001",12.436331184668,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2002",12.5079738983,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2003",12.702308610857,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2004",12.554277645949,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2005",12.42128347139,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2006",12.320255774355,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2007",12.177464756832,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2008",12.440852618959,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2009",13.410344088847,
