"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","TOT","NBR","A","2003",125862.418,
"AUS","IMMIGINFLOW","TOT","NBR","A","2004",149990.596,
"AUS","IMMIGINFLOW","TOT","NBR","A","2005",167319.197,
"AUS","IMMIGINFLOW","TOT","NBR","A","2006",179806.822,
"AUS","IMMIGINFLOW","TOT","NBR","A","2007",191905.255,
"AUS","IMMIGINFLOW","TOT","NBR","A","2008",205938.935,
"AUS","IMMIGINFLOW","TOT","NBR","A","2009",220981,
"AUS","IMMIGINFLOW","TOT","NBR","A","2010",208489,
"AUS","IMMIGINFLOW","TOT","NBR","A","2011",219478,
"AUS","IMMIGINFLOW","TOT","NBR","A","2012",245080,
"AUS","IMMIGINFLOW","TOT","NBR","A","2013",253492,
"AUT","IMMIGINFLOW","TOT","NBR","A","2003",51943,
"AUT","IMMIGINFLOW","TOT","NBR","A","2004",57140,
"AUT","IMMIGINFLOW","TOT","NBR","A","2005",56813,
"AUT","IMMIGINFLOW","TOT","NBR","A","2006",30788,
"AUT","IMMIGINFLOW","TOT","NBR","A","2007",47119,
"AUT","IMMIGINFLOW","TOT","NBR","A","2008",49529,
"AUT","IMMIGINFLOW","TOT","NBR","A","2009",45689,
"AUT","IMMIGINFLOW","TOT","NBR","A","2010",45914,
"AUT","IMMIGINFLOW","TOT","NBR","A","2011",58369,
"AUT","IMMIGINFLOW","TOT","NBR","A","2012",67073.911,
"AUT","IMMIGINFLOW","TOT","NBR","A","2013",65022,
"BEL","IMMIGINFLOW","TOT","NBR","A","2005",41687.47,
"BEL","IMMIGINFLOW","TOT","NBR","A","2006",42525.79,
"BEL","IMMIGINFLOW","TOT","NBR","A","2007",50256.58,
"BEL","IMMIGINFLOW","TOT","NBR","A","2008",51175.83,
"BEL","IMMIGINFLOW","TOT","NBR","A","2009",64243.99,
"BEL","IMMIGINFLOW","TOT","NBR","A","2010",64098.835,
"BEL","IMMIGINFLOW","TOT","NBR","A","2011",64330.896,
"BEL","IMMIGINFLOW","TOT","NBR","A","2012",65670.297,
"BEL","IMMIGINFLOW","TOT","NBR","A","2013",60302.912,
"CAN","IMMIGINFLOW","TOT","NBR","A","1995",212565,
"CAN","IMMIGINFLOW","TOT","NBR","A","1996",225924,
"CAN","IMMIGINFLOW","TOT","NBR","A","1997",215992,
"CAN","IMMIGINFLOW","TOT","NBR","A","1998",174190,
"CAN","IMMIGINFLOW","TOT","NBR","A","1999",189952,
"CAN","IMMIGINFLOW","TOT","NBR","A","2000",227455,
"CAN","IMMIGINFLOW","TOT","NBR","A","2001",250640,
"CAN","IMMIGINFLOW","TOT","NBR","A","2002",228914,
"CAN","IMMIGINFLOW","TOT","NBR","A","2003",221348,
"CAN","IMMIGINFLOW","TOT","NBR","A","2004",235825,
"CAN","IMMIGINFLOW","TOT","NBR","A","2005",262241,
"CAN","IMMIGINFLOW","TOT","NBR","A","2006",251642,
"CAN","IMMIGINFLOW","TOT","NBR","A","2007",236754,
"CAN","IMMIGINFLOW","TOT","NBR","A","2008",247247,
"CAN","IMMIGINFLOW","TOT","NBR","A","2009",252179,
"CAN","IMMIGINFLOW","TOT","NBR","A","2010",280681,
"CAN","IMMIGINFLOW","TOT","NBR","A","2011",248749,
"CAN","IMMIGINFLOW","TOT","NBR","A","2012",257889,
"CAN","IMMIGINFLOW","TOT","NBR","A","2013",258619,
"CZE","IMMIGINFLOW","TOT","NBR","A","1997",12812,
"CZE","IMMIGINFLOW","TOT","NBR","A","1998",10702,
"CZE","IMMIGINFLOW","TOT","NBR","A","1999",9870,
"CZE","IMMIGINFLOW","TOT","NBR","A","2000",7766,
"CZE","IMMIGINFLOW","TOT","NBR","A","2001",12880,
"CZE","IMMIGINFLOW","TOT","NBR","A","2002",42789,
"CZE","IMMIGINFLOW","TOT","NBR","A","2003",57117,
"CZE","IMMIGINFLOW","TOT","NBR","A","2004",49671.599,
"CZE","IMMIGINFLOW","TOT","NBR","A","2005",55926.055,
"CZE","IMMIGINFLOW","TOT","NBR","A","2006",63016.6,
"CZE","IMMIGINFLOW","TOT","NBR","A","2007",98781,
"CZE","IMMIGINFLOW","TOT","NBR","A","2008",71819.4,
"CZE","IMMIGINFLOW","TOT","NBR","A","2009",38973,
"CZE","IMMIGINFLOW","TOT","NBR","A","2010",30515,
"CZE","IMMIGINFLOW","TOT","NBR","A","2011",22590,
"DNK","IMMIGINFLOW","TOT","NBR","A","2003",16761.621,
"DNK","IMMIGINFLOW","TOT","NBR","A","2004",20977.127,
"DNK","IMMIGINFLOW","TOT","NBR","A","2005",21630.918,
"DNK","IMMIGINFLOW","TOT","NBR","A","2006",23901.481,
"DNK","IMMIGINFLOW","TOT","NBR","A","2007",30291.289,
"DNK","IMMIGINFLOW","TOT","NBR","A","2008",45600.342,
"DNK","IMMIGINFLOW","TOT","NBR","A","2009",38412,
"DNK","IMMIGINFLOW","TOT","NBR","A","2010",42415.537,
"DNK","IMMIGINFLOW","TOT","NBR","A","2011",41281.346,
"DNK","IMMIGINFLOW","TOT","NBR","A","2012",43768.065,
"DNK","IMMIGINFLOW","TOT","NBR","A","2013",52375.763,
"FIN","IMMIGINFLOW","TOT","NBR","A","1995",7345,
"FIN","IMMIGINFLOW","TOT","NBR","A","1996",7539,
"FIN","IMMIGINFLOW","TOT","NBR","A","1997",8147,
"FIN","IMMIGINFLOW","TOT","NBR","A","1998",8340,
"FIN","IMMIGINFLOW","TOT","NBR","A","1999",7937,
"FIN","IMMIGINFLOW","TOT","NBR","A","2000",9108,
"FIN","IMMIGINFLOW","TOT","NBR","A","2001",11037,
"FIN","IMMIGINFLOW","TOT","NBR","A","2002",9972,
"FIN","IMMIGINFLOW","TOT","NBR","A","2003",9432,
"FIN","IMMIGINFLOW","TOT","NBR","A","2004",11511,
"FIN","IMMIGINFLOW","TOT","NBR","A","2005",12744,
"FIN","IMMIGINFLOW","TOT","NBR","A","2006",13868,
"FIN","IMMIGINFLOW","TOT","NBR","A","2007",17504,
"FIN","IMMIGINFLOW","TOT","NBR","A","2008",19906,
"FIN","IMMIGINFLOW","TOT","NBR","A","2009",18087,
"FIN","IMMIGINFLOW","TOT","NBR","A","2010",18212,
"FIN","IMMIGINFLOW","TOT","NBR","A","2011",20416,
"FIN","IMMIGINFLOW","TOT","NBR","A","2012",23334,
"FIN","IMMIGINFLOW","TOT","NBR","A","2013",23873,
"FRA","IMMIGINFLOW","TOT","NBR","A","2001",137903,
"FRA","IMMIGINFLOW","TOT","NBR","A","2002",153795,
"FRA","IMMIGINFLOW","TOT","NBR","A","2003",170184,
"FRA","IMMIGINFLOW","TOT","NBR","A","2004",198573,
"FRA","IMMIGINFLOW","TOT","NBR","A","2005",194877,
"FRA","IMMIGINFLOW","TOT","NBR","A","2006",210179.18,
"FRA","IMMIGINFLOW","TOT","NBR","A","2007",206509.58,
"FRA","IMMIGINFLOW","TOT","NBR","A","2008",214395.26,
"FRA","IMMIGINFLOW","TOT","NBR","A","2009",212061.32,
"FRA","IMMIGINFLOW","TOT","NBR","A","2010",224332.84,
"FRA","IMMIGINFLOW","TOT","NBR","A","2011",231543.02,
"FRA","IMMIGINFLOW","TOT","NBR","A","2012",251233.86,
"FRA","IMMIGINFLOW","TOT","NBR","A","2013",259833.46,
"DEU","IMMIGINFLOW","TOT","NBR","A","1999",263710,
"DEU","IMMIGINFLOW","TOT","NBR","A","2000",264138,
"DEU","IMMIGINFLOW","TOT","NBR","A","2001",287281,
"DEU","IMMIGINFLOW","TOT","NBR","A","2002",257250,
"DEU","IMMIGINFLOW","TOT","NBR","A","2003",231275,
"DEU","IMMIGINFLOW","TOT","NBR","A","2004",230502.073,
"DEU","IMMIGINFLOW","TOT","NBR","A","2005",196635.738,
"DEU","IMMIGINFLOW","TOT","NBR","A","2006",165281.434,
"DEU","IMMIGINFLOW","TOT","NBR","A","2007",232870,
"DEU","IMMIGINFLOW","TOT","NBR","A","2008",228329,
"DEU","IMMIGINFLOW","TOT","NBR","A","2009",201452.108,
"DEU","IMMIGINFLOW","TOT","NBR","A","2010",222466.509,
"DEU","IMMIGINFLOW","TOT","NBR","A","2011",290791.023,
