"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","TOT","RT","A","2012",0.14,
"AUT","POVERTY","TOT","RT","A","2007",0.098,
"AUT","POVERTY","TOT","RT","A","2008",0.092,
"AUT","POVERTY","TOT","RT","A","2009",0.096,
"AUT","POVERTY","TOT","RT","A","2010",0.089,
"AUT","POVERTY","TOT","RT","A","2011",0.091,
"AUT","POVERTY","TOT","RT","A","2012",0.096,
"BEL","POVERTY","TOT","RT","A","2004",0.087,
"BEL","POVERTY","TOT","RT","A","2005",0.094,
"BEL","POVERTY","TOT","RT","A","2006",0.103,
"BEL","POVERTY","TOT","RT","A","2007",0.095,
"BEL","POVERTY","TOT","RT","A","2008",0.097,
"BEL","POVERTY","TOT","RT","A","2009",0.1,
"BEL","POVERTY","TOT","RT","A","2010",0.102,
"BEL","POVERTY","TOT","RT","A","2011",0.099,
"BEL","POVERTY","TOT","RT","A","2012",0.102,
"CAN","POVERTY","TOT","RT","A","1976",0.129,
"CAN","POVERTY","TOT","RT","A","1977",0.136,
"CAN","POVERTY","TOT","RT","A","1978",0.128,
"CAN","POVERTY","TOT","RT","A","1979",0.129,
"CAN","POVERTY","TOT","RT","A","1980",0.128,
"CAN","POVERTY","TOT","RT","A","1981",0.119,
"CAN","POVERTY","TOT","RT","A","1982",0.121,
"CAN","POVERTY","TOT","RT","A","1983",0.125,
"CAN","POVERTY","TOT","RT","A","1984",0.126,
"CAN","POVERTY","TOT","RT","A","1985",0.118,
"CAN","POVERTY","TOT","RT","A","1986",0.112,
"CAN","POVERTY","TOT","RT","A","1987",0.113,
"CAN","POVERTY","TOT","RT","A","1988",0.107,
"CAN","POVERTY","TOT","RT","A","1989",0.103,
"CAN","POVERTY","TOT","RT","A","1990",0.111,
"CAN","POVERTY","TOT","RT","A","1991",0.109,
"CAN","POVERTY","TOT","RT","A","1992",0.111,
"CAN","POVERTY","TOT","RT","A","1993",0.107,
"CAN","POVERTY","TOT","RT","A","1994",0.106,
"CAN","POVERTY","TOT","RT","A","1995",0.107,
"CAN","POVERTY","TOT","RT","A","1996",0.113,
"CAN","POVERTY","TOT","RT","A","1997",0.115,
"CAN","POVERTY","TOT","RT","A","1998",0.113,
"CAN","POVERTY","TOT","RT","A","1999",0.111,
"CAN","POVERTY","TOT","RT","A","2000",0.114,
"CAN","POVERTY","TOT","RT","A","2001",0.112,
"CAN","POVERTY","TOT","RT","A","2002",0.117,
"CAN","POVERTY","TOT","RT","A","2003",0.117,
"CAN","POVERTY","TOT","RT","A","2004",0.124,
"CAN","POVERTY","TOT","RT","A","2005",0.117,
"CAN","POVERTY","TOT","RT","A","2006",0.112,
"CAN","POVERTY","TOT","RT","A","2007",0.113,
"CAN","POVERTY","TOT","RT","A","2008",0.119,
"CAN","POVERTY","TOT","RT","A","2009",0.123,
"CAN","POVERTY","TOT","RT","A","2010",0.118,
"CAN","POVERTY","TOT","RT","A","2011",0.118,
"CZE","POVERTY","TOT","RT","A","2004",0.058,
"CZE","POVERTY","TOT","RT","A","2005",0.055,
"CZE","POVERTY","TOT","RT","A","2006",0.056,
"CZE","POVERTY","TOT","RT","A","2007",0.055,
"CZE","POVERTY","TOT","RT","A","2008",0.059,
"CZE","POVERTY","TOT","RT","A","2009",0.061,
"CZE","POVERTY","TOT","RT","A","2010",0.066,
"CZE","POVERTY","TOT","RT","A","2011",0.063,
"CZE","POVERTY","TOT","RT","A","2012",0.053,
"DNK","POVERTY","TOT","RT","A","2011",0.058,
"DNK","POVERTY","TOT","RT","A","2012",0.054,
"FIN","POVERTY","TOT","RT","A","1987",0.052,
"FIN","POVERTY","TOT","RT","A","1988",0.056,
"FIN","POVERTY","TOT","RT","A","1989",0.057,
"FIN","POVERTY","TOT","RT","A","1990",0.056,
"FIN","POVERTY","TOT","RT","A","1991",0.054,
"FIN","POVERTY","TOT","RT","A","1992",0.05,
"FIN","POVERTY","TOT","RT","A","1993",0.042,
"FIN","POVERTY","TOT","RT","A","1994",0.042,
"FIN","POVERTY","TOT","RT","A","1995",0.042,
"FIN","POVERTY","TOT","RT","A","1996",0.046,
"FIN","POVERTY","TOT","RT","A","1997",0.048,
"FIN","POVERTY","TOT","RT","A","1998",0.05,
"FIN","POVERTY","TOT","RT","A","1999",0.052,
"FIN","POVERTY","TOT","RT","A","2000",0.053,
"FIN","POVERTY","TOT","RT","A","2001",0.063,
"FIN","POVERTY","TOT","RT","A","2002",0.062,
"FIN","POVERTY","TOT","RT","A","2003",0.056,
"FIN","POVERTY","TOT","RT","A","2004",0.065,
"FIN","POVERTY","TOT","RT","A","2005",0.066,
"FIN","POVERTY","TOT","RT","A","2006",0.069,
"FIN","POVERTY","TOT","RT","A","2007",0.078,
"FIN","POVERTY","TOT","RT","A","2008",0.079,
"FIN","POVERTY","TOT","RT","A","2009",0.074,
"FIN","POVERTY","TOT","RT","A","2010",0.072,
"FIN","POVERTY","TOT","RT","A","2011",0.075,
"FIN","POVERTY","TOT","RT","A","2012",0.065,
"FIN","POVERTY","TOT","RT","A","2013",0.071,
"FRA","POVERTY","TOT","RT","A","2011",0.08,
"FRA","POVERTY","TOT","RT","A","2012",0.081,
"DEU","POVERTY","TOT","RT","A","2011",0.087,
"DEU","POVERTY","TOT","RT","A","2012",0.084,
"GRC","POVERTY","TOT","RT","A","2004",0.12,
"GRC","POVERTY","TOT","RT","A","2005",0.127,
"GRC","POVERTY","TOT","RT","A","2006",0.129,
"GRC","POVERTY","TOT","RT","A","2007",0.133,
"GRC","POVERTY","TOT","RT","A","2008",0.131,
"GRC","POVERTY","TOT","RT","A","2009",0.129,
"GRC","POVERTY","TOT","RT","A","2010",0.145,
"GRC","POVERTY","TOT","RT","A","2011",0.152,
"GRC","POVERTY","TOT","RT","A","2012",0.151,
"HUN","POVERTY","TOT","RT","A","2012",0.103,
"HUN","POVERTY","TOT","RT","A","2014",0.101,
"ISL","POVERTY","TOT","RT","A","2004",0.059,
"ISL","POVERTY","TOT","RT","A","2005",0.063,
"ISL","POVERTY","TOT","RT","A","2006",0.059,
"ISL","POVERTY","TOT","RT","A","2007",0.07,
"ISL","POVERTY","TOT","RT","A","2008",0.065,
"ISL","POVERTY","TOT","RT","A","2009",0.062,
"ISL","POVERTY","TOT","RT","A","2010",0.066,
"ISL","POVERTY","TOT","RT","A","2011",0.058,
"ISL","POVERTY","TOT","RT","A","2012",0.063,
"IRL","POVERTY","TOT","RT","A","2004",0.136,
"IRL","POVERTY","TOT","RT","A","2005",0.114,
"IRL","POVERTY","TOT","RT","A","2006",0.114,
"IRL","POVERTY","TOT","RT","A","2007",0.096,
"IRL","POVERTY","TOT","RT","A","2008",0.091,
"IRL","POVERTY","TOT","RT","A","2009",0.089,
"IRL","POVERTY","TOT","RT","A","2010",0.092,
"IRL","POVERTY","TOT","RT","A","2011",0.096,
"IRL","POVERTY","TOT","RT","A","2012",0.084,
"ITA","POVERTY","TOT","RT","A","2004",0.122,
"ITA","POVERTY","TOT","RT","A","2005",0.126,
"ITA","POVERTY","TOT","RT","A","2006",0.124,
"ITA","POVERTY","TOT","RT","A","2007",0.119,
"ITA","POVERTY","TOT","RT","A","2008",0.119,
"ITA","POVERTY","TOT","RT","A","2009",0.12,
"ITA","POVERTY","TOT","RT","A","2010",0.132,
"ITA","POVERTY","TOT","RT","A","2011",0.128,
"ITA","POVERTY","TOT","RT","A","2012",0.127,
"KOR","POVERTY","TOT","RT","A","2012",0.146,
"KOR","POVERTY","TOT","RT","A","2013",0.146,
"LUX","POVERTY","TOT","RT","A","2004",0.083,
