"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1980",0.915,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1981",0.884,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1982",0.949,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1983",0.989,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1984",1.019,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1985",1.035,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1986",1.044,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1987",1.04,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1988",1,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1989",1.167,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",1.731,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",1.615,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",2.173,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",2.314,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",2.265,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",2.357,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",2.4,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",2.392,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",2.599,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",2.572,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",2.558,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",2.537,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",2.526,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2003",2.462,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2004",2.435,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2005",2.351,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2006",2.244,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2007",2.172,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2008",2.281,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2009",2.252,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2010",2.465,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2011",2.552,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2012",2.619,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1980",2.751,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1985",2.824,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",2.626,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",2.646,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",2.683,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",2.758,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",2.838,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",2.857,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",2.884,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",2.758,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",2.752,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",2.743,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",2.781,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",2.716,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",2.661,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2003",2.659,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2004",2.586,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2005",2.505,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2006",2.392,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2007",2.277,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2008",2.251,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2009",2.416,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2010",2.407,
"AUT","PUBEXPINCAPACITY","TOT","PC_GDP","A","2011",2.372,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1980",3.678,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1981",3.767,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1982",3.701,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1983",3.777,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1984",3.685,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1985",3.697,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1986",3.561,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1987",3.325,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1988",2.941,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1989",2.87,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",2.608,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",2.701,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",2.584,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",2.964,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",2.875,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",2.951,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",2.95,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",2.9,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",2.838,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",2.924,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",2.757,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",2.841,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",2.961,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2003",2.334,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2004",2.268,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2005",2.262,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2006",2.28,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2007",2.261,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2008",2.278,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2009",2.483,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2010",2.519,
"BEL","PUBEXPINCAPACITY","TOT","PC_GDP","A","2011",2.752,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1980",0.715,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1981",0.747,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1982",0.839,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1983",0.872,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1984",0.894,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1985",0.917,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1986",0.979,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1987",1.028,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1988",1.032,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1989",1.055,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",1.152,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",1.267,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",1.318,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",1.297,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",1.239,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",1.139,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",1.087,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",1.029,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",1.005,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",0.96,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",0.943,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",0.968,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",0.988,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2003",0.956,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2004",0.927,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2005",0.909,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2006",0.887,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2007",0.877,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2008",0.884,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2009",0.925,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2010",0.881,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2011",0.849,
"CAN","PUBEXPINCAPACITY","TOT","PC_GDP","A","2012",0.828,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",2.244,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",2.104,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",2.122,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",2.096,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",2.293,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",2.307,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",2.361,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",2.362,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",2.239,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",2.274,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",2.539,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",2.58,
"CZE","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",2.662,
