"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1985",1.55,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1986",1.52,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1987",1.29,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1988",1.04,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1989",0.95,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1990",1.31,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1991",1.9,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1992",2.31,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1993",2.27,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1994",2.11,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1995",1.96,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1996",1.8,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1997",1.56,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1998",1.41,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","1999",1.3,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2000",1.22,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2001",1.24,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2002",1.11,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2003",1.05,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2004",1,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2005",0.91,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2006",0.82,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2007",0.71,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2008",0.78,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2009",0.89,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2010",0.83,
"AUS","PUBLMPEXP","TOT","PC_GDP","A","2011",0.82,
