"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1980",0.654,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1981",0.696,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1982",1.187,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1983",1.362,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1984",1.268,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1985",1.197,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1986",1.205,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1987",1.036,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1988",0.826,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1989",0.758,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1990",1.1,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1991",1.592,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1992",1.717,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1993",1.729,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1994",1.492,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1995",1.186,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1996",1.192,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1997",1.181,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1998",1.117,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","1999",0.988,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2000",0.926,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2001",0.886,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2002",0.773,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2003",0.699,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2004",0.62,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.546,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.484,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.407,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.445,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.543,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.506,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.514,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.572,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1980",0.402,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1985",0.92,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1990",0.911,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1991",1.009,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1992",1.062,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1993",1.281,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1994",1.262,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1995",1.273,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1996",1.29,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1997",1.148,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1998",1.122,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","1999",1.044,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2000",0.945,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2001",0.936,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2002",1.099,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2003",1.221,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2004",1.217,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2005",1.146,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2006",1.046,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.919,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.858,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.098,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2010",1.033,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.932,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1980",2.424,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1981",3.09,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1982",3.263,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1983",3.6,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1984",3.433,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1985",3.263,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1986",3.159,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1987",3.08,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1988",2.827,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1989",2.583,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1990",2.874,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1991",3,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1992",2.907,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1993",3.193,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1994",3.118,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1995",3.231,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1996",3.266,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1997",3.209,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1998",3.1,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","1999",2.98,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2000",2.811,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2001",2.838,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2002",3.078,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2003",3.316,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2004",3.333,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2005",3.32,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2006",3.265,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2007",3.117,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2008",3.169,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2009",3.682,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2010",3.647,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2011",3.566,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1980",1.201,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","1981",1.281,
