"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCBENHH","INCASH","PC_GDP","A","1970",3.47754858887482,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1971",3.67145845987717,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1972",4.15417731195558,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1973",4.17870305807351,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1974",5.03847073551545,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1975",5.77390258568851,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1976",6.6011689570028,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1977",7.05071938327672,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1978",6.76514032496307,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1979",6.45869783717381,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1980",6.36723580016311,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1981",6.3553382790332,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1982",7.23638614516155,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1983",7.43921360902643,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1984",7.26892688076831,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1985",7.04146856130344,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1986",6.88124927817228,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1987",6.67224204120428,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1988",6.16897594292426,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1989",6.16576669322867,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1990",7.02192543664043,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1991",7.96307637015371,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1992",8.2282771995342,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1993",8.45984706911036,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1994",8.20637105138895,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1995",8.2486388384755,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1996",8.25049005251782,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1997",7.87169238243593,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1998",7.82709357461511,
"AUS","SOCBENHH","INCASH","PC_GDP","A","1999",7.96106718649732,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2000",8.4631626114367,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2001",8.29519450800915,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2002",8.0410130882206,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2003",8.43059604540436,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2004",8.13251345819472,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2005",7.80685169628303,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2006",7.55015489621126,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2007",7.40682258279489,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2008",8.94991414102486,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2009",7.7003571106349,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2010",7.55443167269,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2011",7.83577434901405,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2012",8.05125745957545,
"AUS","SOCBENHH","INCASH","PC_GDP","A","2013",7.98622724788556,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1995",19.9236533769092,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1996",19.8399519032135,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1997",19.2110251581331,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1998",18.8598791624434,
"AUT","SOCBENHH","INCASH","PC_GDP","A","1999",18.9248284557247,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2000",18.7620440747233,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2001",18.6830927349415,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2002",18.9016346030415,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2003",19.1634534885679,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2004",18.8271987058488,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2005",18.4541434749915,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2006",18.1175068861219,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2007",17.5568523133474,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2008",17.7586855551421,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2009",19.2340666825164,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2010",19.371284079049,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2011",18.6771660901192,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2012",18.8381591607434,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2013",19.1904366930608,
"AUT","SOCBENHH","INCASH","PC_GDP","A","2014",19.4022379347527,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1995",15.5652691667927,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1996",15.6987987515166,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1997",15.4655727113011,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1998",15.1992835515374,
"BEL","SOCBENHH","INCASH","PC_GDP","A","1999",14.8572224087525,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2000",14.4223187799645,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2001",14.595053200295,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2002",15.0770181593442,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2003",15.3166782834519,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2004",15.0718922302828,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2005",14.9856652572709,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2006",14.7779049904795,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2007",14.7335899719477,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2008",15.2701191303316,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2009",16.6851118610245,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2010",16.3568437226959,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2011",16.4063876593881,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2012",16.8829871534437,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2013",17.4004008158921,
"BEL","SOCBENHH","INCASH","PC_GDP","A","2014",17.3144420344297,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1981",6.95434878683552,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1982",8.50049262102833,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1983",9.09136427687532,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1984",9.04237214173503,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1985",9.040559135793,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1986",9.16085376390642,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1987",8.9997574189375,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1988",8.73584517852899,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1989",8.69155419428215,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1990",9.41726757223534,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1991",10.7788693064249,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1992",11.6702088286753,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1993",12.007260046953,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1994",11.3355979780926,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1995",10.6988020052916,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1996",10.3630240265217,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1997",9.82497869923317,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1998",9.70909440286956,
"CAN","SOCBENHH","INCASH","PC_GDP","A","1999",9.2546252164756,
"CAN","SOCBENHH","INCASH","PC_GDP","A","2000",8.7415745889055,
"CAN","SOCBENHH","INCASH","PC_GDP","A","2001",9.04521550326392,
