"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","1980",10.248,
"AUS","SOCEXP","PUB","PC_GDP","A","1981",10.119,
"AUS","SOCEXP","PUB","PC_GDP","A","1982",11.095,
"AUS","SOCEXP","PUB","PC_GDP","A","1983",11.592,
"AUS","SOCEXP","PUB","PC_GDP","A","1984",11.973,
"AUS","SOCEXP","PUB","PC_GDP","A","1985",12.054,
"AUS","SOCEXP","PUB","PC_GDP","A","1986",11.877,
"AUS","SOCEXP","PUB","PC_GDP","A","1987",12.108,
"AUS","SOCEXP","PUB","PC_GDP","A","1988",11.404,
"AUS","SOCEXP","PUB","PC_GDP","A","1989",11.582,
"AUS","SOCEXP","PUB","PC_GDP","A","1990",13.131,
"AUS","SOCEXP","PUB","PC_GDP","A","1991",14.284,
"AUS","SOCEXP","PUB","PC_GDP","A","1992",15.265,
"AUS","SOCEXP","PUB","PC_GDP","A","1993",15.516,
"AUS","SOCEXP","PUB","PC_GDP","A","1994",15.23,
"AUS","SOCEXP","PUB","PC_GDP","A","1995",16.085,
"AUS","SOCEXP","PUB","PC_GDP","A","1996",16.096,
"AUS","SOCEXP","PUB","PC_GDP","A","1997",15.857,
"AUS","SOCEXP","PUB","PC_GDP","A","1998",16.57,
"AUS","SOCEXP","PUB","PC_GDP","A","1999",16.337,
"AUS","SOCEXP","PUB","PC_GDP","A","2000",17.205,
"AUS","SOCEXP","PUB","PC_GDP","A","2001",16.687,
"AUS","SOCEXP","PUB","PC_GDP","A","2002",16.859,
"AUS","SOCEXP","PUB","PC_GDP","A","2003",17.13,
"AUS","SOCEXP","PUB","PC_GDP","A","2004",17.002,
"AUS","SOCEXP","PUB","PC_GDP","A","2005",16.355,
"AUS","SOCEXP","PUB","PC_GDP","A","2006",16.292,
"AUS","SOCEXP","PUB","PC_GDP","A","2007",16.271,
"AUS","SOCEXP","PUB","PC_GDP","A","2008",17.541,
"AUS","SOCEXP","PUB","PC_GDP","A","2009",17.401,
"AUS","SOCEXP","PUB","PC_GDP","A","2010",17.248,
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.754,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",18.265,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",18.958,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",18.982,
"AUS","SOCEXP","PUB","USD_CAP","A","1980",2194.893,
"AUS","SOCEXP","PUB","USD_CAP","A","1981",2202.712,
"AUS","SOCEXP","PUB","USD_CAP","A","1982",2324.967,
"AUS","SOCEXP","PUB","USD_CAP","A","1983",2509.648,
"AUS","SOCEXP","PUB","USD_CAP","A","1984",2694.36,
"AUS","SOCEXP","PUB","USD_CAP","A","1985",2779.728,
"AUS","SOCEXP","PUB","USD_CAP","A","1986",2764.808,
"AUS","SOCEXP","PUB","USD_CAP","A","1987",2929.068,
"AUS","SOCEXP","PUB","USD_CAP","A","1988",2818.017,
"AUS","SOCEXP","PUB","USD_CAP","A","1989",2936.605,
"AUS","SOCEXP","PUB","USD_CAP","A","1990",3280.232,
"AUS","SOCEXP","PUB","USD_CAP","A","1991",3534.984,
"AUS","SOCEXP","PUB","USD_CAP","A","1992",3890.502,
"AUS","SOCEXP","PUB","USD_CAP","A","1993",4073.393,
"AUS","SOCEXP","PUB","USD_CAP","A","1994",4103.341,
"AUS","SOCEXP","PUB","USD_CAP","A","1995",4444.158,
"AUS","SOCEXP","PUB","USD_CAP","A","1996",4566.099,
"AUS","SOCEXP","PUB","USD_CAP","A","1997",4649.896,
"AUS","SOCEXP","PUB","USD_CAP","A","1998",5046.53,
"AUS","SOCEXP","PUB","USD_CAP","A","1999",5107.67,
"AUS","SOCEXP","PUB","USD_CAP","A","2000",5415.981,
"AUS","SOCEXP","PUB","USD_CAP","A","2001",5382.964,
"AUS","SOCEXP","PUB","USD_CAP","A","2002",5538.767,
"AUS","SOCEXP","PUB","USD_CAP","A","2003",5791.226,
"AUS","SOCEXP","PUB","USD_CAP","A","2004",5862.451,
"AUS","SOCEXP","PUB","USD_CAP","A","2005",5725.054,
"AUS","SOCEXP","PUB","USD_CAP","A","2006",5824.45,
"AUS","SOCEXP","PUB","USD_CAP","A","2007",5921.608,
"AUS","SOCEXP","PUB","USD_CAP","A","2008",6355.486,
"AUS","SOCEXP","PUB","USD_CAP","A","2009",6312.031,
"AUS","SOCEXP","PUB","USD_CAP","A","2010",6311.53,
"AUS","SOCEXP","PUB","USD_CAP","A","2011",6632.485,
"AUS","SOCEXP","PUB","USD_CAP","A","2012",6889.535,
"AUT","SOCEXP","PUB","PC_GDP","A","1980",22.133,
"AUT","SOCEXP","PUB","PC_GDP","A","1985",23.446,
"AUT","SOCEXP","PUB","PC_GDP","A","1990",23.367,
"AUT","SOCEXP","PUB","PC_GDP","A","1991",23.652,
"AUT","SOCEXP","PUB","PC_GDP","A","1992",24.302,
"AUT","SOCEXP","PUB","PC_GDP","A","1993",25.641,
"AUT","SOCEXP","PUB","PC_GDP","A","1994",26.505,
"AUT","SOCEXP","PUB","PC_GDP","A","1995",26.146,
"AUT","SOCEXP","PUB","PC_GDP","A","1996",26.26,
"AUT","SOCEXP","PUB","PC_GDP","A","1997",26.181,
"AUT","SOCEXP","PUB","PC_GDP","A","1998",25.953,
"AUT","SOCEXP","PUB","PC_GDP","A","1999",26.372,
"AUT","SOCEXP","PUB","PC_GDP","A","2000",26.137,
"AUT","SOCEXP","PUB","PC_GDP","A","2001",26.4,
"AUT","SOCEXP","PUB","PC_GDP","A","2002",26.661,
"AUT","SOCEXP","PUB","PC_GDP","A","2003",27.263,
"AUT","SOCEXP","PUB","PC_GDP","A","2004",27.088,
"AUT","SOCEXP","PUB","PC_GDP","A","2005",26.84,
"AUT","SOCEXP","PUB","PC_GDP","A","2006",26.49,
"AUT","SOCEXP","PUB","PC_GDP","A","2007",25.948,
"AUT","SOCEXP","PUB","PC_GDP","A","2008",26.446,
"AUT","SOCEXP","PUB","PC_GDP","A","2009",28.581,
"AUT","SOCEXP","PUB","PC_GDP","A","2010",28.556,
"AUT","SOCEXP","PUB","PC_GDP","A","2011",27.696,
"AUT","SOCEXP","PUB","PC_GDP","A","2012",27.948,
"AUT","SOCEXP","PUB","PC_GDP","A","2013",28.306,
"AUT","SOCEXP","PUB","PC_GDP","A","2014",28.414,
"AUT","SOCEXP","PUB","USD_CAP","A","1980",4584.6,
"AUT","SOCEXP","PUB","USD_CAP","A","1985",5213.324,
"AUT","SOCEXP","PUB","USD_CAP","A","1990",5944.023,
"AUT","SOCEXP","PUB","USD_CAP","A","1991",6161.625,
"AUT","SOCEXP","PUB","USD_CAP","A","1992",6392.889,
"AUT","SOCEXP","PUB","USD_CAP","A","1993",6724.854,
"AUT","SOCEXP","PUB","USD_CAP","A","1994",7091.217,
"AUT","SOCEXP","PUB","USD_CAP","A","1995",7170.641,
"AUT","SOCEXP","PUB","USD_CAP","A","1996",7369.699,
"AUT","SOCEXP","PUB","USD_CAP","A","1997",7508.595,
"AUT","SOCEXP","PUB","USD_CAP","A","1998",7716.578,
"AUT","SOCEXP","PUB","USD_CAP","A","1999",8102.925,
"AUT","SOCEXP","PUB","USD_CAP","A","2000",8305.207,
"AUT","SOCEXP","PUB","USD_CAP","A","2001",8428.467,
