"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STOCKFPOP","TOT","NBR","A","1986",3247381,
"AUS","STOCKFPOP","TOT","NBR","A","1990",3885600,
"AUS","STOCKFPOP","TOT","NBR","A","1991",3965300,
"AUS","STOCKFPOP","TOT","NBR","A","1992",4028400,
"AUS","STOCKFPOP","TOT","NBR","A","1993",4053900,
"AUS","STOCKFPOP","TOT","NBR","A","1994",4084600,
"AUS","STOCKFPOP","TOT","NBR","A","1995",4164100,
"AUS","STOCKFPOP","TOT","NBR","A","1996",4258637,
"AUS","STOCKFPOP","TOT","NBR","A","1997",4314453,
"AUS","STOCKFPOP","TOT","NBR","A","1998",4332141,
"AUS","STOCKFPOP","TOT","NBR","A","1999",4369450,
"AUS","STOCKFPOP","TOT","NBR","A","2000",4412170,
"AUS","STOCKFPOP","TOT","NBR","A","2001",4482120,
"AUS","STOCKFPOP","TOT","NBR","A","2002",4534510,
"AUS","STOCKFPOP","TOT","NBR","A","2003",4639110,
"AUS","STOCKFPOP","TOT","NBR","A","2004",4736410,
"AUS","STOCKFPOP","TOT","NBR","A","2005",4859790,
"AUS","STOCKFPOP","TOT","NBR","A","2006",5014000,
"AUS","STOCKFPOP","TOT","NBR","A","2007",5215530,
"AUS","STOCKFPOP","TOT","NBR","A","2008",5459430,
"AUS","STOCKFPOP","TOT","NBR","A","2009",5710780,
"AUS","STOCKFPOP","TOT","NBR","A","2010",5862110,
"AUS","STOCKFPOP","TOT","NBR","A","2011",6002400,
"AUS","STOCKFPOP","TOT","NBR","A","2012",6190220,
"AUS","STOCKFPOP","TOT","NBR","A","2013",6391820,
"AUT","STOCKFPOP","TOT","NBR","A","1998",895700,
"AUT","STOCKFPOP","TOT","NBR","A","1999",872000,
"AUT","STOCKFPOP","TOT","NBR","A","2000",843000,
"AUT","STOCKFPOP","TOT","NBR","A","2001",1112094,
"AUT","STOCKFPOP","TOT","NBR","A","2002",1137351,
"AUT","STOCKFPOP","TOT","NBR","A","2003",1141212,
"AUT","STOCKFPOP","TOT","NBR","A","2004",1154776,
"AUT","STOCKFPOP","TOT","NBR","A","2005",1195156,
"AUT","STOCKFPOP","TOT","NBR","A","2006",1215695,
"AUT","STOCKFPOP","TOT","NBR","A","2007",1235678,
