"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","URBANPOP","METROP","PC","A","2012",52.18,
"GRC","URBANPOP","METROP","PC","A","2012",17.42,
"IRL","URBANPOP","METROP","PC","A","2012",67.92,
"KOR","URBANPOP","METROP","PC","A","2012",16.15,
"BEL","URBANPOP","METROP","PC","A","2012",36.38,
"DNK","URBANPOP","METROP","PC","A","2012",0,
"DEU","URBANPOP","METROP","PC","A","2012",28.83,
"PRT","URBANPOP","METROP","PC","A","2012",22.34,
"SWE","URBANPOP","METROP","PC","A","2012",30.74,
"GBR","URBANPOP","METROP","PC","A","2012",21.17,
"EST","URBANPOP","METROP","PC","A","2012",71.43,
"HUN","URBANPOP","METROP","PC","A","2012",0,
"ITA","URBANPOP","METROP","PC","A","2012",15.9,
"LUX","URBANPOP","METROP","PC","A","2012",0,
"SVN","URBANPOP","METROP","PC","A","2012",70.28,
"AUT","URBANPOP","METROP","PC","A","2012",25.26,
"CZE","URBANPOP","METROP","PC","A","2012",24.34,
"FRA","URBANPOP","METROP","PC","A","2012",24.3,
"NLD","URBANPOP","METROP","PC","A","2012",30.8,
"POL","URBANPOP","METROP","PC","A","2012",27.73,
"ESP","URBANPOP","METROP","PC","A","2012",20.27,
"JPN","URBANPOP","METROP","PC","A","2012",21.93,
"MEX","URBANPOP","METROP","PC","A","2012",31.84,
"NOR","URBANPOP","METROP","PC","A","2012",53.27,
"SVK","URBANPOP","METROP","PC","A","2012",35.5,
"CAN","URBANPOP","METROP","PC","A","2012",24.62,
"CHE","URBANPOP","METROP","PC","A","2012",62.82,
"USA","URBANPOP","METROP","PC","A","2012",19.83,
"TUR","URBANPOP","METROP","PC","A","2012",17.89,
"CHL","URBANPOP","METROP","PC","A","2012",14.75,
"OECD","URBANPOP","METROP","PC","A","2012",22.82,
