"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","1956",62.18969,
"AUS","WKGPOP","TOT","PC_POP","A","1957",61.88797,
"AUS","WKGPOP","TOT","PC_POP","A","1958",61.50173,
"AUS","WKGPOP","TOT","PC_POP","A","1959",61.36635,
"AUS","WKGPOP","TOT","PC_POP","A","1960",61.2798,
"AUS","WKGPOP","TOT","PC_POP","A","1961",61.17699,
"AUS","WKGPOP","TOT","PC_POP","A","1962",61.41302,
"AUS","WKGPOP","TOT","PC_POP","A","1963",61.52894,
"AUS","WKGPOP","TOT","PC_POP","A","1964",61.65749,
"AUS","WKGPOP","TOT","PC_POP","A","1965",61.85223,
"AUS","WKGPOP","TOT","PC_POP","A","1966",62.0158,
"AUS","WKGPOP","TOT","PC_POP","A","1967",62.24409,
"AUS","WKGPOP","TOT","PC_POP","A","1968",62.5234,
"AUS","WKGPOP","TOT","PC_POP","A","1969",62.70693,
"AUS","WKGPOP","TOT","PC_POP","A","1970",62.82686,"B"
"AUS","WKGPOP","TOT","PC_POP","A","1971",62.97886,
"AUS","WKGPOP","TOT","PC_POP","A","1972",63.08509,
"AUS","WKGPOP","TOT","PC_POP","A","1973",63.26088,
"AUS","WKGPOP","TOT","PC_POP","A","1974",63.5242,
"AUS","WKGPOP","TOT","PC_POP","A","1975",63.78613,
"AUS","WKGPOP","TOT","PC_POP","A","1976",64.08543,
"AUS","WKGPOP","TOT","PC_POP","A","1977",64.40851,
"AUS","WKGPOP","TOT","PC_POP","A","1978",64.6926,
"AUS","WKGPOP","TOT","PC_POP","A","1979",64.94724,
"AUS","WKGPOP","TOT","PC_POP","A","1980",65.13,
"AUS","WKGPOP","TOT","PC_POP","A","1981",65.28548,
"AUS","WKGPOP","TOT","PC_POP","A","1982",65.46583,
"AUS","WKGPOP","TOT","PC_POP","A","1983",65.65583,
"AUS","WKGPOP","TOT","PC_POP","A","1984",65.91914,
"AUS","WKGPOP","TOT","PC_POP","A","1985",66.13589,
"AUS","WKGPOP","TOT","PC_POP","A","1986",66.40335,
"AUS","WKGPOP","TOT","PC_POP","A","1987",66.63383,
"AUS","WKGPOP","TOT","PC_POP","A","1988",66.78951,
"AUS","WKGPOP","TOT","PC_POP","A","1989",66.86526,
"AUS","WKGPOP","TOT","PC_POP","A","1990",66.90107,
"AUS","WKGPOP","TOT","PC_POP","A","1991",66.81189,
"AUS","WKGPOP","TOT","PC_POP","A","1992",66.73151,
"AUS","WKGPOP","TOT","PC_POP","A","1993",66.63454,
"AUS","WKGPOP","TOT","PC_POP","A","1994",66.58242,
"AUS","WKGPOP","TOT","PC_POP","A","1995",66.5704,
"AUS","WKGPOP","TOT","PC_POP","A","1996",66.60082,
"AUS","WKGPOP","TOT","PC_POP","A","1997",66.64495,
