"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YNGPOP","TOT","PC_POP","A","1956",29.3868,
"AUS","YNGPOP","TOT","PC_POP","A","1957",29.63693,
"AUS","YNGPOP","TOT","PC_POP","A","1958",29.98374,
"AUS","YNGPOP","TOT","PC_POP","A","1959",30.12132,
"AUS","YNGPOP","TOT","PC_POP","A","1960",30.20535,
"AUS","YNGPOP","TOT","PC_POP","A","1961",30.30966,
"AUS","YNGPOP","TOT","PC_POP","A","1962",30.04906,
"AUS","YNGPOP","TOT","PC_POP","A","1963",29.91684,
"AUS","YNGPOP","TOT","PC_POP","A","1964",29.81765,
"AUS","YNGPOP","TOT","PC_POP","A","1965",29.62728,
"AUS","YNGPOP","TOT","PC_POP","A","1966",29.48153,
"AUS","YNGPOP","TOT","PC_POP","A","1967",29.28403,
"AUS","YNGPOP","TOT","PC_POP","A","1968",29.03259,
"AUS","YNGPOP","TOT","PC_POP","A","1969",28.92079,
"AUS","YNGPOP","TOT","PC_POP","A","1970",28.82806,"B"
"AUS","YNGPOP","TOT","PC_POP","A","1971",28.67683,
"AUS","YNGPOP","TOT","PC_POP","A","1972",28.50891,
"AUS","YNGPOP","TOT","PC_POP","A","1973",28.23318,
"AUS","YNGPOP","TOT","PC_POP","A","1974",27.86839,
"AUS","YNGPOP","TOT","PC_POP","A","1975",27.49316,
"AUS","YNGPOP","TOT","PC_POP","A","1976",26.98691,
"AUS","YNGPOP","TOT","PC_POP","A","1977",26.51904,
"AUS","YNGPOP","TOT","PC_POP","A","1978",26.06728,
"AUS","YNGPOP","TOT","PC_POP","A","1979",25.61659,
"AUS","YNGPOP","TOT","PC_POP","A","1980",25.25283,
"AUS","YNGPOP","TOT","PC_POP","A","1981",24.96465,
"AUS","YNGPOP","TOT","PC_POP","A","1982",24.66692,
"AUS","YNGPOP","TOT","PC_POP","A","1983",24.3676,
"AUS","YNGPOP","TOT","PC_POP","A","1984",23.97915,
"AUS","YNGPOP","TOT","PC_POP","A","1985",23.59683,
"AUS","YNGPOP","TOT","PC_POP","A","1986",23.0955,
"AUS","YNGPOP","TOT","PC_POP","A","1987",22.67199,
"AUS","YNGPOP","TOT","PC_POP","A","1988",22.37475,
"AUS","YNGPOP","TOT","PC_POP","A","1989",22.15312,
"AUS","YNGPOP","TOT","PC_POP","A","1990",22.0039,
