"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRLANDAREA","CROPLAND","HA","A","1990",47800000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1991",45700000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1992",47200000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1993",47100000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1994",47400000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1995",53100000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1996",36500000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1997",40000000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1998",44323000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","1999",45787000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2000",47583000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2001",50127000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2002",24059745,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2003",23562239,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2004",26023997,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2005",26724986,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2006",24565025,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2007",23530139,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2008",24374000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2009",27511000,
"AUS","AGRLANDAREA","CROPLAND","HA","A","2010",25968000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1990",416500000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1991",417100000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1992",418800000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1993",413000000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1994",421600000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1995",410200000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1996",428700000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1997",426100000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1998",419463000,
"AUS","AGRLANDAREA","PASTURE","HA","A","1999",407942000,
"AUS","AGRLANDAREA","PASTURE","HA","A","2000",407933000,
"AUS","AGRLANDAREA","PASTURE","HA","A","2001",405596000,
"AUS","AGRLANDAREA","PASTURE","HA","A","2002",422947255,
"AUS","AGRLANDAREA","PASTURE","HA","A","2003",415968761,
"AUS","AGRLANDAREA","PASTURE","HA","A","2004",414086003,
"AUS","AGRLANDAREA","PASTURE","HA","A","2005",418424014,
"AUS","AGRLANDAREA","PASTURE","HA","A","2006",410359975,
"AUS","AGRLANDAREA","PASTURE","HA","A","2007",401918861,
"AUS","AGRLANDAREA","PASTURE","HA","A","2008",392914000,
"AUS","AGRLANDAREA","PASTURE","HA","A","2009",381518000,
"AUS","AGRLANDAREA","PASTURE","HA","A","2010",372612000,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1990",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1991",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1992",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1993",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1994",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1995",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1996",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1997",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1998",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","1999",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2000",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2001",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2002",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2003",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2004",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2005",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2006",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2007",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2008",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2009",0,
"AUS","AGRLANDAREA","OTHAGRLAND","HA","A","2010",0,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1990",10.3,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1991",9.9,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1992",10.1,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1993",10.2,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1994",10.1,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1995",11.5,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1996",7.8,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1997",8.6,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1998",9.6,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","1999",10.1,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","2000",10.4,
"AUS","AGRLANDAREA","CROPLAND","PC_AGRLAND","A","2001",11,
