"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1971",25.5745084,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1972",22.68234074,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1973",30.69006559,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1974",38.19925102,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1975",46.6979431,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1976",49.53993453,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1977",50.31260605,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1978",45.46627309,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1979",32.43730337,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1980",30.90692936,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1981",33.4588601,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1982",34.14494972,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1983",29.5792547,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1984",31.10452816,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1985",28.69243026,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1986",29.30333555,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1987",28.19191012,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1988",28.92143335,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1989",30.2827978,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1990",28.22040625,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.64857294,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.13495446,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",26.12543833,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.41980582,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.23908892,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.16688576,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",28.67101813,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.34760248,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",27.65539293,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.03719681,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.12926302,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",24.75323581,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.39981983,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.11118088,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",26.59985189,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",26.43393794,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",23.63085634,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",22.8210603,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",22.98484914,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",24.83542383,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",22.87011828,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.05318916,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.54956433,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",21.57367368,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",20.31802913,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",19.38428932,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",19.15318243,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",19.26825151,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",19.69638454,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2020",20.52456682,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2021",19.78165653,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2022",19.68367629,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2023",19.62304124,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2024",20.23496939,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1970",10.50839411,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1971",10.63306934,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1972",11.62336887,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1973",12.73824821,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1974",10.42674749,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1975",9.42237182,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1976",9.67652549,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1977",10.39875083,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1978",10.75428873,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1979",10.79957813,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1980",12.08655263,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1981",11.91187042,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1982",11.71552927,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1983",12.47654072,
