"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1970",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1971",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1972",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1973",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1974",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1975",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1976",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1977",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1978",0,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1979",1.47984989,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1980",1.21571691,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1981",1.37938955,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1982",0.87591967,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1983",1.6389642,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1984",1.58790242,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1985",1.52881771,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1986",1.57515784,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1987",1.56481777,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1988",1.56907984,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1989",1.788034,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1990",1.63952052,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1991",1.75361098,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1992",1.78287203,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1993",1.95571854,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1994",1.30001722,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1995",1.90191813,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1996",2.01765393,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1997",1.87476421,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1998",2.09661217,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","1999",2.22294309,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2000",2.04932632,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2001",2.24740447,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2002",1.17361338,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2003",2.29311676,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2004",1.78546261,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2005",2.17839559,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2006",1.08237694,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2007",1.76976502,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2008",1.78798863,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2009",1.8462011,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2010",2.18369067,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2011",2.34030676,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2012",2.1986804,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2013",2.34563064,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2014",1.992914722,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2015",2.015361733,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2016",2.03159747,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2017",2.045152208,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2018",2.057478935,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2019",2.080765309,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2020",2.104577181,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2021",2.129554632,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2022",2.154949764,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2023",2.180752549,
"AUS","CROPYIELD","COARSGRAIN","TONNE_HA","A","2024",2.207143369,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1970",0.79469098,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1971",0.57588379,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1972",0.47570501,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1973",0.75605224,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1974",0.73165066,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1975",0.76493023,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1976",0.78348441,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1977",0.86541797,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1978",0.91615711,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1979",0.82928288,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1980",0.87948768,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1981",0.88416569,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1982",0.68708684,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1983",0.9752347,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1984",0.9996646,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1985",0.99826145,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1986",0.98044577,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1987",1.14044673,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1988",1.16405533,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1989",1.37955786,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1990",1.17080912,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1991",1.23880451,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1992",1.46977621,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1993",1.49954998,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1994",0.83227156,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1995",1.39743654,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1996",1.45665236,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1997",1.22784918,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1998",1.34458393,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","1999",1.2827161,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2000",1.20595111,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2001",1.30418027,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2002",0.67318311,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2003",1.38094507,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2004",1.13219856,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2005",1.43516313,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2006",0.57408484,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2007",0.98542013,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2008",1.10575675,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2009",1.14282482,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2010",1.13806276,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2011",1.39815067,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2012",1.27734476,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2013",1.46682953,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2014",1.36570301,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2015",1.406712895,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2016",1.448442874,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2017",1.489971836,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2018",1.532995467,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2019",1.546999513,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2020",1.555978032,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2021",1.565316348,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2022",1.575775224,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2023",1.585394375,
"AUS","CROPYIELD","OILSEED","TONNE_HA","A","2024",1.596112241,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1970",5.26425137,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1971",4.38530979,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1972",4.88667265,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1973",6.05464562,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1974",5.11681884,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1975",5.57191342,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1976",5.75622026,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1977",5.36223943,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1978",6.27915268,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1979",5.26584779,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1980",7.3122516,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1981",6.96561758,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1982",6.12796359,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1983",5.32654192,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1984",7.09412306,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1985",6.53937543,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1986",5.78914189,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1987",6.98113208,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1988",7.71134021,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1989",8.05714286,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1990",8.31460674,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1991",8.39473684,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1992",8.09433962,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1993",8.336,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1994",8.53781513,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1995",7.05109489,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1996",8.25657895,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1997",9.00680272,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1998",9.2027027,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1999",8.27480916,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2000",9.28248588,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2001",8.27777778,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2002",9.31914894,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2003",8.37878788,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2004",6.64705882,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2005",9.83333333,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2006",8.15,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2007",8.50096525,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2008",8.46093967,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2009",10.38957266,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2010",9.54413259,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2011",8.90979004,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2012",10.21764582,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2013",7.31067105,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2014",9.27436243,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2015",9.345775604,
