"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FISHLAND","NLD","TONNE","A","1995",201149,
"AUS","FISHLAND","NLD","TONNE","A","1996",199330.087,
"AUS","FISHLAND","NLD","TONNE","A","1997",193654,
"AUS","FISHLAND","NLD","TONNE","A","1998",209659.629,
"AUS","FISHLAND","NLD","TONNE","A","1999",209799,
"AUS","FISHLAND","NLD","TONNE","A","2000",184753.3,
"AUS","FISHLAND","NLD","TONNE","A","2001",188657,
"AUS","FISHLAND","NLD","TONNE","A","2002",186652,
"AUS","FISHLAND","NLD","TONNE","A","2003",200931,
"AUS","FISHLAND","NLD","TONNE","A","2004",231291.1,
"AUS","FISHLAND","NLD","TONNE","A","2005",236300.1,
"AUS","FISHLAND","NLD","TONNE","A","2006",188509,
"AUS","FISHLAND","NLD","TONNE","A","2007",181635,
"AUS","FISHLAND","NLD","TONNE","A","2008",172379,
"AUS","FISHLAND","NLD","TONNE","A","2009",172449,
"AUS","FISHLAND","NLD","TONNE","A","2010",173356.925,
"AUS","FISHLAND","NLD","TONNE","A","2011",129173.026,
"AUS","FISHLAND","NLD","TONNE","A","2012",159336.1,
"AUS","FISHLAND","NLD","TONNE","A","2013",156456.8,
"AUS","FISHLAND","NLD","TONNE","A","2014",152339.3,
"AUS","FISHLAND","NLD","USD","A","1995",1133272375.748,
"AUS","FISHLAND","NLD","USD","A","1996",1048802187.79,
"AUS","FISHLAND","NLD","USD","A","1997",1028332426.774,
"AUS","FISHLAND","NLD","USD","A","1998",1037446759.684,
"AUS","FISHLAND","NLD","USD","A","1999",999826344.067,
"AUS","FISHLAND","NLD","USD","A","2000",988538406.688,
"AUS","FISHLAND","NLD","USD","A","2001",914072231.726,
"AUS","FISHLAND","NLD","USD","A","2002",938555929.676,
"AUS","FISHLAND","NLD","USD","A","2003",1034485844.655,
"AUS","FISHLAND","NLD","USD","A","2004",1117055555.5,
"AUS","FISHLAND","NLD","USD","A","2005",1135574852.242,
"AUS","FISHLAND","NLD","USD","A","2006",1017848023.812,
"AUS","FISHLAND","NLD","USD","A","2007",1162218024.431,
"AUS","FISHLAND","NLD","USD","A","2008",1167558505.501,
"AUS","FISHLAND","NLD","USD","A","2009",1085601018.012,
"AUS","FISHLAND","NLD","USD","A","2010",1224577794.153,
"AUS","FISHLAND","NLD","USD","A","2011",904138217.848,
"AUS","FISHLAND","NLD","USD","A","2012",1351304968.944,
"AUS","FISHLAND","NLD","USD","A","2013",1329587019.231,
"AUS","FISHLAND","NLD","USD","A","2014",1365678090.909,
"BEL","FISHLAND","FLD","TONNE","A","1997",484,
"BEL","FISHLAND","FLD","TONNE","A","1999",404,
"BEL","FISHLAND","FLD","TONNE","A","2000",419,
"BEL","FISHLAND","FLD","TONNE","A","2001",308,
"BEL","FISHLAND","FLD","TONNE","A","2002",460,
"BEL","FISHLAND","FLD","TONNE","A","2003",279,
"BEL","FISHLAND","FLD","TONNE","A","2004",575,
"BEL","FISHLAND","FLD","TONNE","A","2005",618,
"BEL","FISHLAND","FLD","TONNE","A","2006",443.6,
"BEL","FISHLAND","FLD","TONNE","A","2007",142,
"BEL","FISHLAND","FLD","TONNE","A","2008",42.3,
"BEL","FISHLAND","FLD","TONNE","A","2009",86,
"BEL","FISHLAND","FLD","TONNE","A","2010",162,
"BEL","FISHLAND","FLD","TONNE","A","2011",72,
"BEL","FISHLAND","FLD","TONNE","A","2012",88,
"BEL","FISHLAND","FLD","TONNE","A","2013",103.756,
"BEL","FISHLAND","NLD","TONNE","A","1995",20521,
"BEL","FISHLAND","NLD","TONNE","A","1996",20200,
"BEL","FISHLAND","NLD","TONNE","A","1997",19317,
"BEL","FISHLAND","NLD","TONNE","A","1999",18202,
"BEL","FISHLAND","NLD","TONNE","A","2000",17581,
"BEL","FISHLAND","NLD","TONNE","A","2001",18061,
"BEL","FISHLAND","NLD","TONNE","A","2002",19455,
"BEL","FISHLAND","NLD","TONNE","A","2003",20105,
"BEL","FISHLAND","NLD","TONNE","A","2004",20836,
"BEL","FISHLAND","NLD","TONNE","A","2005",19170,
"BEL","FISHLAND","NLD","TONNE","A","2006",17981,
"BEL","FISHLAND","NLD","TONNE","A","2007",18975.6,
"BEL","FISHLAND","NLD","TONNE","A","2008",17306.7,
"BEL","FISHLAND","NLD","TONNE","A","2009",15929,
"BEL","FISHLAND","NLD","TONNE","A","2010",15871,
"BEL","FISHLAND","NLD","TONNE","A","2011",16905,
"BEL","FISHLAND","NLD","TONNE","A","2012",17557,
"BEL","FISHLAND","NLD","TONNE","A","2013",16357.238,
"BEL","FISHLAND","NLF","TONNE","A","1995",8565,
"BEL","FISHLAND","NLF","TONNE","A","1996",6920,
"BEL","FISHLAND","NLF","TONNE","A","1997",7496,
"BEL","FISHLAND","NLF","TONNE","A","1999",8262,
"BEL","FISHLAND","NLF","TONNE","A","2000",8941,
"BEL","FISHLAND","NLF","TONNE","A","2001",8916,
"BEL","FISHLAND","NLF","TONNE","A","2002",6354,
"BEL","FISHLAND","NLF","TONNE","A","2003",3532,
"BEL","FISHLAND","NLF","TONNE","A","2004",2848,
"BEL","FISHLAND","NLF","TONNE","A","2005",2358,
"BEL","FISHLAND","NLF","TONNE","A","2006",2282.3,
"BEL","FISHLAND","NLF","TONNE","A","2007",2816.7,
"BEL","FISHLAND","NLF","TONNE","A","2008",2704.8,
"BEL","FISHLAND","NLF","TONNE","A","2009",3246,
"BEL","FISHLAND","NLF","TONNE","A","2010",3802,
"BEL","FISHLAND","NLF","TONNE","A","2011",3232,
"BEL","FISHLAND","NLF","TONNE","A","2012",4366,
"BEL","FISHLAND","NLF","TONNE","A","2013",6433.013,
"BEL","FISHLAND","FLD","USD","A","1997",1890186.359,
"BEL","FISHLAND","FLD","USD","A","1999",1516750.505,
"BEL","FISHLAND","FLD","USD","A","2000",1226866.904,
"BEL","FISHLAND","FLD","USD","A","2001",716530.292,
"BEL","FISHLAND","FLD","USD","A","2002",1202565.197,
"BEL","FISHLAND","FLD","USD","A","2003",972701.965,
"BEL","FISHLAND","FLD","USD","A","2004",2507261.821,
"BEL","FISHLAND","FLD","USD","A","2005",3119487.242,
"BEL","FISHLAND","FLD","USD","A","2006",2840293.578,
"BEL","FISHLAND","FLD","USD","A","2007",1164903.458,
"BEL","FISHLAND","FLD","USD","A","2008",309462.668,
"BEL","FISHLAND","FLD","USD","A","2009",554705.147,
"BEL","FISHLAND","FLD","USD","A","2010",1059144.249,
"BEL","FISHLAND","FLD","USD","A","2011",1012752.741,
"BEL","FISHLAND","FLD","USD","A","2012",1207219.794,
"BEL","FISHLAND","FLD","USD","A","2013",1491462.151,
"BEL","FISHLAND","NLD","USD","A","1995",70854137.358,
"BEL","FISHLAND","NLD","USD","A","1996",80063381.275,
"BEL","FISHLAND","NLD","USD","A","1997",76345742.574,
"BEL","FISHLAND","NLD","USD","A","1999",65589231.028,
"BEL","FISHLAND","NLD","USD","A","2000",57629984.779,
