"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FISHSUPP","MARINECAPT","USD","A","2005",38420494.48,
"AUS","FISHSUPP","MARINECAPT","USD","A","2006",45771980.357,
"AUS","FISHSUPP","MARINECAPT","USD","A","2007",57954314.297,
"AUS","FISHSUPP","MARINECAPT","USD","A","2008",66958630.855,
"AUS","FISHSUPP","MARINECAPT","USD","A","2009",26962337.446,
"AUS","FISHSUPP","MARINECAPT","USD","A","2010",32015024.433,
"AUS","FISHSUPP","MARINECAPT","USD","A","2011",18718757.642,
"AUS","FISHSUPP","MARINECAPT","USD","A","2012",14247412.008,
"AUS","FISHSUPP","MARINECAPT","USD","A","2013",14250961.538,
"AUS","FISHSUPP","MARINECAPT","USD","A","2014",17780909.091,
"BEL","FISHSUPP","AQUACULT","USD","A","2007",75292.399,
"BEL","FISHSUPP","AQUACULT","USD","A","2008",2138944.114,
"BEL","FISHSUPP","AQUACULT","USD","A","2009",905503.969,
"BEL","FISHSUPP","AQUACULT","USD","A","2010",3520235.398,
"BEL","FISHSUPP","AQUACULT","USD","A","2011",1727466.894,
"BEL","FISHSUPP","AQUACULT","USD","A","2012",381506.427,
"BEL","FISHSUPP","AQUACULT","USD","A","2013",101741.009,
"BEL","FISHSUPP","MARINECAPT","USD","A","2006",7131944.046,
"BEL","FISHSUPP","MARINECAPT","USD","A","2007",3288224.392,
"BEL","FISHSUPP","MARINECAPT","USD","A","2008",1267576.587,
"BEL","FISHSUPP","MARINECAPT","USD","A","2009",13578791.247,
"BEL","FISHSUPP","MARINECAPT","USD","A","2010",10546300.296,
"BEL","FISHSUPP","MARINECAPT","USD","A","2011",2866050.322,
"BEL","FISHSUPP","MARINECAPT","USD","A","2012",6178152.558,
"BEL","FISHSUPP","MARINECAPT","USD","A","2013",5678743.001,
"BEL","FISHSUPP","MKTPROC","USD","A","2006",625080.629,
"BEL","FISHSUPP","MKTPROC","USD","A","2007",2698205.777,
"BEL","FISHSUPP","MKTPROC","USD","A","2008",1581912.188,
"BEL","FISHSUPP","MKTPROC","USD","A","2011",712397.251,
"CAN","FISHSUPP","AQUACULT","USD","A","2001",18018554.662,
"CAN","FISHSUPP","AQUACULT","USD","A","2002",22483551.681,
"CAN","FISHSUPP","AQUACULT","USD","A","2003",25493483.827,
"CAN","FISHSUPP","AQUACULT","USD","A","2004",27361588.303,
"CAN","FISHSUPP","AQUACULT","USD","A","2005",40108704.111,
"CAN","FISHSUPP","AQUACULT","USD","A","2006",31793173.467,
"CAN","FISHSUPP","AQUACULT","USD","A","2007",37916380.919,
"CAN","FISHSUPP","AQUACULT","USD","A","2008",38844978.523,
"CAN","FISHSUPP","AQUACULT","USD","A","2009",38243161.299,
"CAN","FISHSUPP","AQUACULT","USD","A","2010",54386389.646,
"CAN","FISHSUPP","MARINECAPT","USD","A","2001",483982253.177,
"CAN","FISHSUPP","MARINECAPT","USD","A","2002",464256680.455,
"CAN","FISHSUPP","MARINECAPT","USD","A","2003",522580713.304,
"CAN","FISHSUPP","MARINECAPT","USD","A","2004",547923491.598,
"CAN","FISHSUPP","MARINECAPT","USD","A","2005",553193111.833,
"CAN","FISHSUPP","MARINECAPT","USD","A","2006",595219924.275,
"CAN","FISHSUPP","MARINECAPT","USD","A","2007",634525408.599,
"CAN","FISHSUPP","MARINECAPT","USD","A","2008",657050028.012,
"CAN","FISHSUPP","MARINECAPT","USD","A","2009",699537073.26,
"CAN","FISHSUPP","MARINECAPT","USD","A","2010",805543487.177,
"CAN","FISHSUPP","MKTPROC","USD","A","2001",19891451.025,
"CAN","FISHSUPP","MKTPROC","USD","A","2002",11018851.107,
"CAN","FISHSUPP","MKTPROC","USD","A","2003",5712825.508,
"CAN","FISHSUPP","MKTPROC","USD","A","2004",5380087.588,
"CAN","FISHSUPP","MKTPROC","USD","A","2005",2145733.142,
"CAN","FISHSUPP","MKTPROC","USD","A","2006",4539190.439,
"CAN","FISHSUPP","MKTPROC","USD","A","2007",4945324.688,
"CAN","FISHSUPP","MKTPROC","USD","A","2008",4950538.653,
"CAN","FISHSUPP","MKTPROC","USD","A","2009",8020623.525,
"CAN","FISHSUPP","MKTPROC","USD","A","2010",10016634.144,
"CZE","FISHSUPP","AQUACULT","USD","A","2006",3801351.107,
"CZE","FISHSUPP","AQUACULT","USD","A","2007",8835570.44,
"CZE","FISHSUPP","AQUACULT","USD","A","2008",29233678.899,
"CZE","FISHSUPP","AQUACULT","USD","A","2009",36870709.266,
"CZE","FISHSUPP","AQUACULT","USD","A","2010",28978807.562,
"CZE","FISHSUPP","AQUACULT","USD","A","2011",46196461.299,
"CZE","FISHSUPP","AQUACULT","USD","A","2012",29317384.021,
"CZE","FISHSUPP","AQUACULT","USD","A","2013",23021819.585,
"CZE","FISHSUPP","AQUACULT","USD","A","2014",10192260.553,
"CZE","FISHSUPP","MKTPROC","USD","A","2006",759273.286,
"CZE","FISHSUPP","MKTPROC","USD","A","2007",733805.813,
"DNK","FISHSUPP","AQUACULT","USD","A","2004",4064523.409,
"DNK","FISHSUPP","AQUACULT","USD","A","2005",5743942.482,
"DNK","FISHSUPP","AQUACULT","USD","A","2006",7001499.237,
"DNK","FISHSUPP","AQUACULT","USD","A","2007",7247581.89,
"DNK","FISHSUPP","AQUACULT","USD","A","2008",12117796.13,
"DNK","FISHSUPP","AQUACULT","USD","A","2009",10531555.731,
"DNK","FISHSUPP","AQUACULT","USD","A","2010",7349352.984,
"DNK","FISHSUPP","AQUACULT","USD","A","2011",7645242.157,
"DNK","FISHSUPP","AQUACULT","USD","A","2012",11119246.978,
"DNK","FISHSUPP","AQUACULT","USD","A","2013",11466477.447,
"DNK","FISHSUPP","AQUACULT","USD","A","2014",13833651.075,
"DNK","FISHSUPP","MARINECAPT","USD","A","2004",76272649.911,
"DNK","FISHSUPP","MARINECAPT","USD","A","2005",58108228.07,
"DNK","FISHSUPP","MARINECAPT","USD","A","2006",89990544.145,
"DNK","FISHSUPP","MARINECAPT","USD","A","2007",63717489.891,
"DNK","FISHSUPP","MARINECAPT","USD","A","2008",83223850.244,
"DNK","FISHSUPP","MARINECAPT","USD","A","2009",80137632.697,
"DNK","FISHSUPP","MARINECAPT","USD","A","2010",98079132.17,
"DNK","FISHSUPP","MARINECAPT","USD","A","2011",118475389.736,
"DNK","FISHSUPP","MARINECAPT","USD","A","2012",115165841.105,
"DNK","FISHSUPP","MARINECAPT","USD","A","2013",118087893.481,
"DNK","FISHSUPP","MARINECAPT","USD","A","2014",83043205.914,
"DNK","FISHSUPP","MKTPROC","USD","A","2004",12191531.827,
"DNK","FISHSUPP","MKTPROC","USD","A","2005",15177236.999,
"DNK","FISHSUPP","MKTPROC","USD","A","2006",16108762.672,
"DNK","FISHSUPP","MKTPROC","USD","A","2007",20613176.685,
"DNK","FISHSUPP","MKTPROC","USD","A","2008",20838812.481,
"DNK","FISHSUPP","MKTPROC","USD","A","2009",18887128.559,
"DNK","FISHSUPP","MKTPROC","USD","A","2010",9691099.193,
"DNK","FISHSUPP","MKTPROC","USD","A","2011",8028959.293,
"DNK","FISHSUPP","MKTPROC","USD","A","2012",8077077.893,
"DNK","FISHSUPP","MKTPROC","USD","A","2013",10941527.288,
"DNK","FISHSUPP","MKTPROC","USD","A","2014",14117930.824,
"FIN","FISHSUPP","AQUACULT","USD","A","2004",936421.487,
"FIN","FISHSUPP","AQUACULT","USD","A","2005",668176.608,
"FIN","FISHSUPP","AQUACULT","USD","A","2006",1762186.391,
"FIN","FISHSUPP","AQUACULT","USD","A","2007",2531724.989,
"FIN","FISHSUPP","AQUACULT","USD","A","2008",1538165.781,
"FIN","FISHSUPP","AQUACULT","USD","A","2009",2263937.262,
"FIN","FISHSUPP","AQUACULT","USD","A","2010",1719532.674,
"FIN","FISHSUPP","AQUACULT","USD","A","2011",5300266.424,
"FIN","FISHSUPP","AQUACULT","USD","A","2012",4760546.71,
"FIN","FISHSUPP","MARINECAPT","USD","A","2004",19397111.768,
"FIN","FISHSUPP","MARINECAPT","USD","A","2005",24816016.5,
"FIN","FISHSUPP","MARINECAPT","USD","A","2006",17568763.433,
"FIN","FISHSUPP","MARINECAPT","USD","A","2007",20877323.794,
"FIN","FISHSUPP","MARINECAPT","USD","A","2008",20900210.864,
"FIN","FISHSUPP","MARINECAPT","USD","A","2009",14986531.833,
"FIN","FISHSUPP","MARINECAPT","USD","A","2010",5714821.591,
"FIN","FISHSUPP","MARINECAPT","USD","A","2011",5902272.584,
