"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1985",7254858,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1986",7192390,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1987",7487311,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1988",7376019,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1989",7392977,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1990",7586022,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1991",7729384,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1992",7266276,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1993",7222568,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1994",7579209,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1995",6724684,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1996",7518861,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1997",7642497,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1998",7444238,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","1999",7264823,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2000",7349527,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2001",7092696,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2002",7537831,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2003",6101294,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2004",6202632,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2005",5648677,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2006",5890921,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2007",5879899,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2008",5404048,
"AUS","NUTRBALANCE","NITROGEN","TONNE","A","2009",5905301,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1985",244271,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1986",344274,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1987",345069,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1988",331296,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1989",328172,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1990",280989,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1991",312719,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1992",287867,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1993",282392,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1994",344814,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1995",276488,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1996",336279,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1997",390978,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1998",334117,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","1999",335517,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2000",373551,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2001",342600,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2002",390203,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2003",158674,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2004",175893,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2005",119417,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2006",22846,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2007",60961,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2008",-39931,
"AUS","NUTRBALANCE","PHOSPHORUS","TONNE","A","2009",32283,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1990",16.3,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1991",16.7,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1992",15.6,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1993",15.7,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1994",16.2,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1995",14.5,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1996",16.2,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1997",16.4,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1998",16.1,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","1999",16,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2000",16.1,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2001",15.6,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2002",16.9,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2003",13.9,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2004",14.1,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2005",12.7,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2006",13.5,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2007",13.8,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2008",13,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2009",14.4,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1990",0.6,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1991",0.7,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1992",0.6,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1993",0.6,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1994",0.7,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1995",0.6,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1996",0.7,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1997",0.8,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1998",0.7,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1999",0.7,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2000",0.8,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2001",0.8,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2002",0.9,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2003",0.4,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2004",0.4,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2005",0.3,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2006",0.1,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2007",0.1,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2008",-0.1,
"AUS","NUTRBALANCE","PHOSPHORUS","KG_HA","A","2009",0.1,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1985",202956,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1986",191553,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1987",179486,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1988",179441,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1989",171213,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1990",185689,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1991",182384,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1992",218088,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1993",191775,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1994",172578,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1995",168941,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1996",184066,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1997",164059,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1998",163754,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","1999",136923,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2000",166228,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2001",152939,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2002",140079,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2003",144175,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2004",119269,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2005",81973,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2006",100453,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2007",111661,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2008",103091,
"AUT","NUTRBALANCE","NITROGEN","TONNE","A","2009",69830,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1985",29479,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1986",32959,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1987",32889,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1988",30275,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1989",28863,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1990",31038,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1991",28884,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1992",33895,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1993",29579,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1994",29963,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1995",20507,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1996",22553,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1997",20343,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1998",20923,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","1999",14200,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2000",18191,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2001",16173,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2002",12717,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2003",18457,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2004",10736,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2005",2725,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2006",5683,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2007",9021,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2008",5000,
"AUT","NUTRBALANCE","PHOSPHORUS","TONNE","A","2009",6082,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1990",54,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1991",52,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1992",63,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1993",56,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1994",50,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1995",49,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1996",54,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1997",48,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1998",48,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","1999",40,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2000",49,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2001",45,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2002",42,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2003",43,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2004",36,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2005",25,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2006",31,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2007",35,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2008",33,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2009",22,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1990",9,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1991",8,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1992",10,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1993",9,
"AUT","NUTRBALANCE","PHOSPHORUS","KG_HA","A","1994",9,
