"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INDPROD","TOT","IDX2010","A","1975",42.77319,
"AUS","INDPROD","TOT","IDX2010","A","1976",44.85435,
"AUS","INDPROD","TOT","IDX2010","A","1977",45.13317,
"AUS","INDPROD","TOT","IDX2010","A","1978",45.85194,
"AUS","INDPROD","TOT","IDX2010","A","1979",48.31505,
"AUS","INDPROD","TOT","IDX2010","A","1980",49.03445,
"AUS","INDPROD","TOT","IDX2010","A","1981",50.5411,
"AUS","INDPROD","TOT","IDX2010","A","1982",50.14865,
"AUS","INDPROD","TOT","IDX2010","A","1983",48.231,
"AUS","INDPROD","TOT","IDX2010","A","1984",51.45304,
"AUS","INDPROD","TOT","IDX2010","A","1985",54.40705,
"AUS","INDPROD","TOT","IDX2010","A","1986",53.90445,
"AUS","INDPROD","TOT","IDX2010","A","1987",57.72311,
"AUS","INDPROD","TOT","IDX2010","A","1988",61.80293,
"AUS","INDPROD","TOT","IDX2010","A","1989",63.89809,
"AUS","INDPROD","TOT","IDX2010","A","1990",65.81967,
"AUS","INDPROD","TOT","IDX2010","A","1991",65.16593,
"AUS","INDPROD","TOT","IDX2010","A","1992",65.42968,
"AUS","INDPROD","TOT","IDX2010","A","1993",67.41224,
"AUS","INDPROD","TOT","IDX2010","A","1994",70.66894,
"AUS","INDPROD","TOT","IDX2010","A","1995",72.46463,
"AUS","INDPROD","TOT","IDX2010","A","1996",75.34438,
"AUS","INDPROD","TOT","IDX2010","A","1997",76.25009,
"AUS","INDPROD","TOT","IDX2010","A","1998",78.4221,
"AUS","INDPROD","TOT","IDX2010","A","1999",79.0806,
"AUS","INDPROD","TOT","IDX2010","A","2000",83.55922,
"AUS","INDPROD","TOT","IDX2010","A","2001",84.44067,
"AUS","INDPROD","TOT","IDX2010","A","2002",86.60352,
"AUS","INDPROD","TOT","IDX2010","A","2003",86.91682,
"AUS","INDPROD","TOT","IDX2010","A","2004",87.65867,
"AUS","INDPROD","TOT","IDX2010","A","2005",89.32887,
"AUS","INDPROD","TOT","IDX2010","A","2006",90.94324,
"AUS","INDPROD","TOT","IDX2010","A","2007",94.02179,
"AUS","INDPROD","TOT","IDX2010","A","2008",96.6895,
"AUS","INDPROD","TOT","IDX2010","A","2009",95.63692,
"AUS","INDPROD","TOT","IDX2010","A","2010",100,
"AUS","INDPROD","TOT","IDX2010","A","2011",101.2292,
"AUS","INDPROD","TOT","IDX2010","A","2012",104.5757,
"AUS","INDPROD","TOT","IDX2010","A","2013",106.7039,
"AUS","INDPROD","TOT","IDX2010","A","2014",111.5695,
"AUT","INDPROD","TOT","IDX2010","A","1955",11.99225,
"AUT","INDPROD","TOT","IDX2010","A","1956",12.6032,
"AUT","INDPROD","TOT","IDX2010","A","1957",13.31501,
"AUT","INDPROD","TOT","IDX2010","A","1958",13.65314,
"AUT","INDPROD","TOT","IDX2010","A","1959",14.44565,
"AUT","INDPROD","TOT","IDX2010","A","1960",15.97109,
"AUT","INDPROD","TOT","IDX2010","A","1961",16.61038,
"AUT","INDPROD","TOT","IDX2010","A","1962",17.0585,
"AUT","INDPROD","TOT","IDX2010","A","1963",17.85581,
"AUT","INDPROD","TOT","IDX2010","A","1964",19.23909,
"AUT","INDPROD","TOT","IDX2010","A","1965",20.08298,
"AUT","INDPROD","TOT","IDX2010","A","1966",21.0143,
"AUT","INDPROD","TOT","IDX2010","A","1967",21.17808,
"AUT","INDPROD","TOT","IDX2010","A","1968",22.75348,
"AUT","INDPROD","TOT","IDX2010","A","1969",25.31542,
"AUT","INDPROD","TOT","IDX2010","A","1970",27.55028,
"AUT","INDPROD","TOT","IDX2010","A","1971",29.25248,
"AUT","INDPROD","TOT","IDX2010","A","1972",31.5762,
"AUT","INDPROD","TOT","IDX2010","A","1973",33.16697,
"AUT","INDPROD","TOT","IDX2010","A","1974",34.8024,
"AUT","INDPROD","TOT","IDX2010","A","1975",32.63959,
"AUT","INDPROD","TOT","IDX2010","A","1976",34.49117,
"AUT","INDPROD","TOT","IDX2010","A","1977",35.8317,
