"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CGEXP","HEALTH","PC","A","2007",3.37,
"AUT","CGEXP","HEALTH","PC","A","2008",3.59,
"AUT","CGEXP","HEALTH","PC","A","2009",3.47,
"AUT","CGEXP","HEALTH","PC","A","2010",3.81,
"AUT","CGEXP","HEALTH","PC","A","2011",4.01,
"AUT","CGEXP","HEALTH","PC","A","2012",4.13,
"AUT","CGEXP","HEALTH","PC","A","2013",3.98,
"AUT","CGEXP","PUBORD","PC","A","2007",3.46,
"AUT","CGEXP","PUBORD","PC","A","2008",3.45,
"AUT","CGEXP","PUBORD","PC","A","2009",3.33,
"AUT","CGEXP","PUBORD","PC","A","2010",3.39,
"AUT","CGEXP","PUBORD","PC","A","2011",3.38,
"AUT","CGEXP","PUBORD","PC","A","2012",3.39,
"AUT","CGEXP","PUBORD","PC","A","2013",3.37,
"CZE","CGEXP","HEALTH","PC","A","2007",5.11,
"CZE","CGEXP","HEALTH","PC","A","2008",5.02,
"CZE","CGEXP","HEALTH","PC","A","2009",4.88,
"CZE","CGEXP","HEALTH","PC","A","2010",5.29,
"CZE","CGEXP","HEALTH","PC","A","2011",5.1,
"CZE","CGEXP","HEALTH","PC","A","2012",4.73,
"CZE","CGEXP","HEALTH","PC","A","2013",5,
"CZE","CGEXP","PUBORD","PC","A","2007",6.14,
"CZE","CGEXP","PUBORD","PC","A","2008",6.11,
"CZE","CGEXP","PUBORD","PC","A","2009",5.95,
"CZE","CGEXP","PUBORD","PC","A","2010",5.88,
"CZE","CGEXP","PUBORD","PC","A","2011",5.28,
"CZE","CGEXP","PUBORD","PC","A","2012",5.06,
"CZE","CGEXP","PUBORD","PC","A","2013",5.37,
"FRA","CGEXP","HEALTH","PC","A","2007",1.01,
"FRA","CGEXP","HEALTH","PC","A","2008",0.95,
"FRA","CGEXP","HEALTH","PC","A","2009",1.03,
"FRA","CGEXP","HEALTH","PC","A","2010",1.18,
"FRA","CGEXP","HEALTH","PC","A","2011",1.05,
"FRA","CGEXP","HEALTH","PC","A","2012",1.07,
"FRA","CGEXP","HEALTH","PC","A","2013",1.09,
"HUN","CGEXP","HEALTH","PC","A","2007",8.13,
"HUN","CGEXP","HEALTH","PC","A","2008",6.54,
"HUN","CGEXP","HEALTH","PC","A","2009",6.81,
"HUN","CGEXP","HEALTH","PC","A","2010",10.14,
"HUN","CGEXP","HEALTH","PC","A","2011",9.86,
"HUN","CGEXP","HEALTH","PC","A","2012",13.51,
"HUN","CGEXP","HEALTH","PC","A","2013",16.25,
"ESP","CGEXP","PUBORD","PC","A","2007",5.76,
