"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","1970",-1.10705686697942,
"AUS","GGNLEND","TOT","PC_GDP","A","1971",-1.07309171897145,
"AUS","GGNLEND","TOT","PC_GDP","A","1972",-1.52688647930958,
"AUS","GGNLEND","TOT","PC_GDP","A","1973",-0.405086828037321,
"AUS","GGNLEND","TOT","PC_GDP","A","1974",-2.98904252176726,
"AUS","GGNLEND","TOT","PC_GDP","A","1975",-3.8953698135899,
"AUS","GGNLEND","TOT","PC_GDP","A","1976",-3.83401227300668,
"AUS","GGNLEND","TOT","PC_GDP","A","1977",-4.71510895698966,
"AUS","GGNLEND","TOT","PC_GDP","A","1978",-4.42962650348175,
"AUS","GGNLEND","TOT","PC_GDP","A","1979",-2.82321408628969,
"AUS","GGNLEND","TOT","PC_GDP","A","1980",-3.03990949988161,
"AUS","GGNLEND","TOT","PC_GDP","A","1981",-3.45686187366814,
"AUS","GGNLEND","TOT","PC_GDP","A","1982",-5.43919330007354,
"AUS","GGNLEND","TOT","PC_GDP","A","1983",-5.84918131149539,
"AUS","GGNLEND","TOT","PC_GDP","A","1984",-5.53374995742942,
"AUS","GGNLEND","TOT","PC_GDP","A","1985",-4.97707294761563,
"AUS","GGNLEND","TOT","PC_GDP","A","1986",-3.35138048457826,
"AUS","GGNLEND","TOT","PC_GDP","A","1987",-1.60811494735283,
"AUS","GGNLEND","TOT","PC_GDP","A","1988",-0.90540305390003,
"AUS","GGNLEND","TOT","PC_GDP","A","1989",-1.94240829922343,
"AUS","GGNLEND","TOT","PC_GDP","A","1990",-3.15080216482046,
"AUS","GGNLEND","TOT","PC_GDP","A","1991",-5.66693542857278,
"AUS","GGNLEND","TOT","PC_GDP","A","1992",-6.04839527084098,
"AUS","GGNLEND","TOT","PC_GDP","A","1993",-4.27996468187975,
"AUS","GGNLEND","TOT","PC_GDP","A","1994",-3.9918959386868,
"AUS","GGNLEND","TOT","PC_GDP","A","1995",-2.68961736237145,
"AUS","GGNLEND","TOT","PC_GDP","A","1996",-0.854155699252389,
"AUS","GGNLEND","TOT","PC_GDP","A","1997",0.510295084417824,
"AUS","GGNLEND","TOT","PC_GDP","A","1998",0.776308640323228,
"AUS","GGNLEND","TOT","PC_GDP","A","1999",2.06726519838723,
"AUS","GGNLEND","TOT","PC_GDP","A","2000",-1.07767635960926,
"AUS","GGNLEND","TOT","PC_GDP","A","2001",-0.681322240333002,
"AUS","GGNLEND","TOT","PC_GDP","A","2002",0.801903287041662,
"AUS","GGNLEND","TOT","PC_GDP","A","2003",0.779262695817036,
"AUS","GGNLEND","TOT","PC_GDP","A","2004",0.960160706518615,
"AUS","GGNLEND","TOT","PC_GDP","A","2005",1.59874249900254,
"AUS","GGNLEND","TOT","PC_GDP","A","2006",1.52310005945511,
"AUS","GGNLEND","TOT","PC_GDP","A","2007",0.504439526258106,
"AUS","GGNLEND","TOT","PC_GDP","A","2008",-3.9985410728518,
"AUS","GGNLEND","TOT","PC_GDP","A","2009",-5.65408464084972,
"AUS","GGNLEND","TOT","PC_GDP","A","2010",-4.57612631623747,
"AUS","GGNLEND","TOT","PC_GDP","A","2011",-4.36961703394798,
"AUS","GGNLEND","TOT","PC_GDP","A","2012",-2.3410783248042,
"AUS","GGNLEND","TOT","PC_GDP","A","2013",-2.59968269154311,
"AUT","GGNLEND","TOT","PC_GDP","A","1995",-6.14789824007156,
"AUT","GGNLEND","TOT","PC_GDP","A","1996",-4.3574919941636,
"AUT","GGNLEND","TOT","PC_GDP","A","1997",-2.38888940812814,
"AUT","GGNLEND","TOT","PC_GDP","A","1998",-2.72436261602581,
"AUT","GGNLEND","TOT","PC_GDP","A","1999",-2.59688003534391,
"AUT","GGNLEND","TOT","PC_GDP","A","2000",-2.04857855762103,
"AUT","GGNLEND","TOT","PC_GDP","A","2001",-0.616254712495947,
"AUT","GGNLEND","TOT","PC_GDP","A","2002",-1.34483621822369,
"AUT","GGNLEND","TOT","PC_GDP","A","2003",-1.76568553929812,
"AUT","GGNLEND","TOT","PC_GDP","A","2004",-4.77610775958197,
"AUT","GGNLEND","TOT","PC_GDP","A","2005",-2.51032323917011,
"AUT","GGNLEND","TOT","PC_GDP","A","2006",-2.4986828180938,
"AUT","GGNLEND","TOT","PC_GDP","A","2007",-1.31650812116201,
"AUT","GGNLEND","TOT","PC_GDP","A","2008",-1.44848571606402,
"AUT","GGNLEND","TOT","PC_GDP","A","2009",-5.31737559137625,
"AUT","GGNLEND","TOT","PC_GDP","A","2010",-4.44779255161178,
"AUT","GGNLEND","TOT","PC_GDP","A","2011",-2.55737058593214,
"AUT","GGNLEND","TOT","PC_GDP","A","2012",-2.16964003373286,
"AUT","GGNLEND","TOT","PC_GDP","A","2013",-1.28791881844511,
"AUT","GGNLEND","TOT","PC_GDP","A","2014",-2.69847237847749,
"BEL","GGNLEND","TOT","PC_GDP","A","1995",-4.44588310902767,
"BEL","GGNLEND","TOT","PC_GDP","A","1996",-3.9313334136018,
"BEL","GGNLEND","TOT","PC_GDP","A","1997",-2.12493749142581,
"BEL","GGNLEND","TOT","PC_GDP","A","1998",-0.947972194976332,
"BEL","GGNLEND","TOT","PC_GDP","A","1999",-0.55088319834907,
"BEL","GGNLEND","TOT","PC_GDP","A","2000",-0.071914863954272,
"BEL","GGNLEND","TOT","PC_GDP","A","2001",0.17186629945671,
"BEL","GGNLEND","TOT","PC_GDP","A","2002",0.045298384018323,
"BEL","GGNLEND","TOT","PC_GDP","A","2003",-1.76105746947498,
"BEL","GGNLEND","TOT","PC_GDP","A","2004",-0.158179645208914,
"BEL","GGNLEND","TOT","PC_GDP","A","2005",-2.57219541480861,
"BEL","GGNLEND","TOT","PC_GDP","A","2006",0.294034812742223,
"BEL","GGNLEND","TOT","PC_GDP","A","2007",0.059643819641267,
"BEL","GGNLEND","TOT","PC_GDP","A","2008",-1.09886292386165,
"BEL","GGNLEND","TOT","PC_GDP","A","2009",-5.38570048253775,
"BEL","GGNLEND","TOT","PC_GDP","A","2010",-3.96972344638881,
"BEL","GGNLEND","TOT","PC_GDP","A","2011",-4.10333785273776,
"BEL","GGNLEND","TOT","PC_GDP","A","2012",-4.14969322619696,
"BEL","GGNLEND","TOT","PC_GDP","A","2013",-2.90948028897451,
"BEL","GGNLEND","TOT","PC_GDP","A","2014",-3.11064963071862,
"CAN","GGNLEND","TOT","PC_GDP","A","1981",-2.90373797611318,
"CAN","GGNLEND","TOT","PC_GDP","A","1982",-7.01875063032218,
"CAN","GGNLEND","TOT","PC_GDP","A","1983",-8.11475194857526,
"CAN","GGNLEND","TOT","PC_GDP","A","1984",-7.68786001047303,
"CAN","GGNLEND","TOT","PC_GDP","A","1985",-8.46955946265501,
"CAN","GGNLEND","TOT","PC_GDP","A","1986",-7.01954706295944,
"CAN","GGNLEND","TOT","PC_GDP","A","1987",-5.34838507810055,
"CAN","GGNLEND","TOT","PC_GDP","A","1988",-4.31613665705348,
"CAN","GGNLEND","TOT","PC_GDP","A","1989",-4.56327948344869,
"CAN","GGNLEND","TOT","PC_GDP","A","1990",-5.7213545021954,
"CAN","GGNLEND","TOT","PC_GDP","A","1991",-8.17756808182734,
"CAN","GGNLEND","TOT","PC_GDP","A","1992",-8.98036202951864,
"CAN","GGNLEND","TOT","PC_GDP","A","1993",-8.59231411299729,
"CAN","GGNLEND","TOT","PC_GDP","A","1994",-6.60018510419739,
"CAN","GGNLEND","TOT","PC_GDP","A","1995",-5.20470483434074,
"CAN","GGNLEND","TOT","PC_GDP","A","1996",-2.72762260381097,
"CAN","GGNLEND","TOT","PC_GDP","A","1997",0.249396478273218,
"CAN","GGNLEND","TOT","PC_GDP","A","1998",0.218312640782296,
"CAN","GGNLEND","TOT","PC_GDP","A","1999",1.79269248237003,
"CAN","GGNLEND","TOT","PC_GDP","A","2000",2.93471114567379,
"CAN","GGNLEND","TOT","PC_GDP","A","2001",0.753415483525315,
"CAN","GGNLEND","TOT","PC_GDP","A","2002",0.032939638324465,
"CAN","GGNLEND","TOT","PC_GDP","A","2003",0.058126961181963,
"CAN","GGNLEND","TOT","PC_GDP","A","2004",1.00676257038055,
"CAN","GGNLEND","TOT","PC_GDP","A","2005",1.67086077223526,
"CAN","GGNLEND","TOT","PC_GDP","A","2006",1.79626583308562,
"CAN","GGNLEND","TOT","PC_GDP","A","2007",1.45807522830321,
"CAN","GGNLEND","TOT","PC_GDP","A","2008",-0.301888122169609,
"CAN","GGNLEND","TOT","PC_GDP","A","2009",-4.52110296890824,
"CAN","GGNLEND","TOT","PC_GDP","A","2010",-4.92838099614075,
