"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","GGWEALTH","TOT","PC_GDP","A","1995",7.027477,
"FIN","GGWEALTH","TOT","PC_GDP","A","1996",6.424652,
"FIN","GGWEALTH","TOT","PC_GDP","A","1997",7.26038,
"FIN","GGWEALTH","TOT","PC_GDP","A","1998",14.05609,
"FIN","GGWEALTH","TOT","PC_GDP","A","1999",48.35924,
"FIN","GGWEALTH","TOT","PC_GDP","A","2000",30.07757,
"FIN","GGWEALTH","TOT","PC_GDP","A","2001",30.43888,
"FIN","GGWEALTH","TOT","PC_GDP","A","2002",30.23083,
"FIN","GGWEALTH","TOT","PC_GDP","A","2003",36.81359,
"FIN","GGWEALTH","TOT","PC_GDP","A","2004",44.74214,
"FIN","GGWEALTH","TOT","PC_GDP","A","2005",56.01842,
"FIN","GGWEALTH","TOT","PC_GDP","A","2006",66.5201,
"FIN","GGWEALTH","TOT","PC_GDP","A","2007",69.73803,
"FIN","GGWEALTH","TOT","PC_GDP","A","2008",49.96774,
"FIN","GGWEALTH","TOT","PC_GDP","A","2009",59.64569,
"FIN","GGWEALTH","TOT","PC_GDP","A","2010",61.76002,
"FIN","GGWEALTH","TOT","PC_GDP","A","2011",48.77711,
"FIN","GGWEALTH","TOT","PC_GDP","A","2012",50.30106,
"FIN","GGWEALTH","TOT","PC_GDP","A","2013",54.02554,
"FIN","GGWEALTH","TOT","PC_GDP","A","2014",54.04478,
"CHL","GGWEALTH","TOT","PC_GDP","A","2005",-8.93327,
"CHL","GGWEALTH","TOT","PC_GDP","A","2006",-0.8742136,
"CHL","GGWEALTH","TOT","PC_GDP","A","2007",6.115555,
"CHL","GGWEALTH","TOT","PC_GDP","A","2008",18.10979,
"CHL","GGWEALTH","TOT","PC_GDP","A","2009",7.220658,
"CHL","GGWEALTH","TOT","PC_GDP","A","2010",1.860368,
"CHL","GGWEALTH","TOT","PC_GDP","A","2011",4.578959,
"CHL","GGWEALTH","TOT","PC_GDP","A","2012",1.692509,
"CHL","GGWEALTH","TOT","PC_GDP","A","2013",1.017957,
"CHL","GGWEALTH","TOT","PC_GDP","A","2014",-0.7536339,
"TUR","GGWEALTH","TOT","PC_GDP","A","2009",-21.03759,
"TUR","GGWEALTH","TOT","PC_GDP","A","2010",-19.84025,
"TUR","GGWEALTH","TOT","PC_GDP","A","2011",-18.58133,
"TUR","GGWEALTH","TOT","PC_GDP","A","2012",-18.66216,
"TUR","GGWEALTH","TOT","PC_GDP","A","2013",-15.61858,
"TUR","GGWEALTH","TOT","PC_GDP","A","2014",-16.65625,
"NOR","GGWEALTH","TOT","PC_GDP","A","1995",39.51869,
"NOR","GGWEALTH","TOT","PC_GDP","A","1996",44.17076,
"NOR","GGWEALTH","TOT","PC_GDP","A","1997",52.10037,
"NOR","GGWEALTH","TOT","PC_GDP","A","1998",57.52971,
"NOR","GGWEALTH","TOT","PC_GDP","A","1999",61.02555,
