"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGREV","TOT","THND_USD_CAP","A","2001",10069,
"AUS","GGREV","TOT","THND_USD_CAP","A","2007",13339,
"AUS","GGREV","TOT","THND_USD_CAP","A","2009",13402.41,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2010",13605.48,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2011",14278.75,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2012",14849.46,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2013",15215.73,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2014",15371.86,"E"
"AUS","GGREV","TOT","PC_GDP","A","1970",24.6183632437263,
"AUS","GGREV","TOT","PC_GDP","A","1971",25.3987536838316,
"AUS","GGREV","TOT","PC_GDP","A","1972",25.6734193003279,
"AUS","GGREV","TOT","PC_GDP","A","1973",26.403692266826,
"AUS","GGREV","TOT","PC_GDP","A","1974",28.1335715189962,
"AUS","GGREV","TOT","PC_GDP","A","1975",29.2579675285628,
"AUS","GGREV","TOT","PC_GDP","A","1976",29.577112613692,
"AUS","GGREV","TOT","PC_GDP","A","1977",29.4508262412701,
"AUS","GGREV","TOT","PC_GDP","A","1978",28.8617851867483,
"AUS","GGREV","TOT","PC_GDP","A","1979",29.8626363399471,
"AUS","GGREV","TOT","PC_GDP","A","1980",30.3260898161059,
"AUS","GGREV","TOT","PC_GDP","A","1981",30.1590828803574,
"AUS","GGREV","TOT","PC_GDP","A","1982",31.3865948565473,
"AUS","GGREV","TOT","PC_GDP","A","1983",31.4500138284059,
"AUS","GGREV","TOT","PC_GDP","A","1984",33.1139529339645,
"AUS","GGREV","TOT","PC_GDP","A","1985",33.8720774254054,
"AUS","GGREV","TOT","PC_GDP","A","1986",35.1884451568422,
"AUS","GGREV","TOT","PC_GDP","A","1987",34.6721432891829,
"AUS","GGREV","TOT","PC_GDP","A","1988",34.0640905729325,
"AUS","GGREV","TOT","PC_GDP","A","1989",32.9011646035745,
"AUS","GGREV","TOT","PC_GDP","A","1990",33.2714583609561,
"AUS","GGREV","TOT","PC_GDP","A","1991",32.7474954306535,
"AUS","GGREV","TOT","PC_GDP","A","1992",32.2713973272909,
"AUS","GGREV","TOT","PC_GDP","A","1993",33.9739743172116,
"AUS","GGREV","TOT","PC_GDP","A","1994",34.0090081000254,
"AUS","GGREV","TOT","PC_GDP","A","1995",34.1963475499093,
"AUS","GGREV","TOT","PC_GDP","A","1996",35.1653781264991,
"AUS","GGREV","TOT","PC_GDP","A","1997",35.3800628186159,
"AUS","GGREV","TOT","PC_GDP","A","1998",36.6219368860269,
"AUS","GGREV","TOT","PC_GDP","A","1999",37.4026831010643,
"AUS","GGREV","TOT","PC_GDP","A","2000",35.1238831515227,
"AUS","GGREV","TOT","PC_GDP","A","2001",35.2069584331049,
"AUS","GGREV","TOT","PC_GDP","A","2002",35.7364621840344,
"AUS","GGREV","TOT","PC_GDP","A","2003",35.8882282803163,
"AUS","GGREV","TOT","PC_GDP","A","2004",36.017632594267,
"AUS","GGREV","TOT","PC_GDP","A","2005",36.3615676257651,
"AUS","GGREV","TOT","PC_GDP","A","2006",36.1346262519166,
"AUS","GGREV","TOT","PC_GDP","A","2007",35.0931837842473,
"AUS","GGREV","TOT","PC_GDP","A","2008",33.0002805017883,
"AUS","GGREV","TOT","PC_GDP","A","2009",32.5519722824775,
"AUS","GGREV","TOT","PC_GDP","A","2010",32.1558098872531,
"AUS","GGREV","TOT","PC_GDP","A","2011",32.5327320552149,
"AUS","GGREV","TOT","PC_GDP","A","2012",33.9226428003986,
"AUS","GGREV","TOT","PC_GDP","A","2013",34.0129043821131,
"AUT","GGREV","TOT","THND_USD_CAP","A","2001",14851,
