"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1991",10.4734027775455,"E"
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1992",11.3062372856577,"E"
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1993",13.6954183253794,"E"
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1994",11.9417430199334,"E"
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1995",10.8801035539508,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1996",10.2143067630641,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1997",10.15367059442,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1998",9.89438638849572,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1999",10.1558767753641,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2000",10.2964105320391,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2001",10.2939142583434,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2002",10.4426096788433,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2003",10.7739040745085,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2004",10.1784531333283,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2005",10.1423425589513,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2006",10.1436482215584,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2007",9.83644744448227,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2008",10.2393824421562,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2009",10.67784772285,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2010",10.5677666408704,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2011",10.1513388189719,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2012",9.83139902491588,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2013",9.88599868850845,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2014",10.229922833879,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1986",8.32920656621546,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1987",8.35654137358323,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1988",8.24418520413632,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1989",8.45918743812712,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1990",9.10265956944876,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1991",8.69447697812402,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1992",8.83189988521536,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1993",8.11385970808372,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1994",7.51142952679968,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1995",7.3218382958804,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1996",7.11825793032601,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1997",7.10262704063919,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1998",7.12077478547867,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1999",7.2040590875371,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2000",6.89868627088813,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2001",6.77282961795612,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2002",6.57236275106958,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2003",6.5366398675138,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2004",6.59113404475656,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2005",7.0683509580478,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2006",7.44224524328247,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2007",7.41414672280378,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2008",7.88386683665987,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2009",7.64233263889113,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2010",7.4710039461834,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2011",7.38290887102984,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2012",7.144305566427,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2013",7.09848034812892,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1993",6.85126986932237,"E"
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1994",9.21526878517604,"E"
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1995",9.76916379440611,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1996",8.7513153279551,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1997",8.761961123706,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1998",8.88513473368164,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","1999",9.55769981594066,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2000",8.54026320864333,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2001",8.21774074482861,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2002",8.05817974128616,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2003",8.04695896602089,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2004",7.5734007989567,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2005",7.37122967777452,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2006",6.86015304277344,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2007",7.11437610793776,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2008",8.21721749417428,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2009",9.00942042406754,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2010",8.71510421939237,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2011",8.18424695052626,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2012",8.22785477975989,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2013",8.50398504326881,
"EST","GGEXPDEST","SOCIETY","PC_GDP","A","2014",8.81920663958947,
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","1996",7.91416997908201,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","1997",7.7995368436537,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","1998",7.70032709865812,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","1999",7.75735562761339,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2000",7.67519730462321,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2001",7.84218364929382,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2002",8.07078007817019,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2003",8.18727537500169,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2004",8.15640714644247,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2005",8.11442106169487,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2006",8.0505989559281,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2007",8.00361269318399,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2008",8.3102045736436,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2009",8.86178542183931,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2010",8.76217249189133,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2011",8.53705485483135,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2012",8.42885306236067,"E"
"OECD","GGEXPDEST","SOCIETY","PC_GDP","A","2013",8.30375377769563,"E"
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1970",12.278275353105,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1971",11.9800988208294,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1972",11.5560150929979,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1973",10.7801692486572,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1974",10.9244104401724,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1975",11.0662238598207,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1976",10.4389303931056,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1977",10.1488481752448,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1978",9.77267394022926,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1979",9.52835769181234,
"USA","GGEXPDEST","SOCIETY","PC_GDP","A","1980",9.96330137414607,
