"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",15730.33,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15541.69,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16196.59,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15874.25,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",16378.7,"E"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",16420.85,"E"
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",21994.49,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22088.46,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22378.37,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",22936.95,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",22972.69,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",24325.2,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.4505733517308,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.265667487039,
"AUT","GGEXP","TOT","PC_GDP","A","1997",51.9154087033657,
"AUT","GGEXP","TOT","PC_GDP","A","1998",51.8698048529172,
"AUT","GGEXP","TOT","PC_GDP","A","1999",51.7086193756482,
"AUT","GGEXP","TOT","PC_GDP","A","2000",50.3199307754757,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.0151494113833,
"AUT","GGEXP","TOT","PC_GDP","A","2002",50.693670622063,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.01191462846,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.4353861464246,
"AUT","GGEXP","TOT","PC_GDP","A","2005",50.9784642261103,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.2193802114996,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.1237711792206,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.7972821534613,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1171660510581,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.7478833442228,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8152278512659,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.1187020632518,
"AUT","GGEXP","TOT","PC_GDP","A","2013",50.9005050107584,
"AUT","GGEXP","TOT","PC_GDP","A","2014",52.684547198737,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2009",20390.36,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2010",20928.65,
