"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGCOST","TOT","PC_GDP","A","2007",20.18,
"AUS","GGCOST","TOT","PC_GDP","A","2008",20.63,
"AUS","GGCOST","TOT","PC_GDP","A","2009",21.31,
"AUS","GGCOST","TOT","PC_GDP","A","2010",20.92,
"AUS","GGCOST","TOT","PC_GDP","A","2011",20.94,
"AUS","GGCOST","TOT","PC_GDP","A","2012",21.17,
"AUS","GGCOST","TOT","PC_GDP","A","2013",20.81,
"AUT","GGCOST","TOT","PC_GDP","A","2007",22.51,
"AUT","GGCOST","TOT","PC_GDP","A","2008",23.14,
"AUT","GGCOST","TOT","PC_GDP","A","2009",24.69,
"AUT","GGCOST","TOT","PC_GDP","A","2010",24.51,
"AUT","GGCOST","TOT","PC_GDP","A","2011",23.84,
"AUT","GGCOST","TOT","PC_GDP","A","2012",23.82,
"AUT","GGCOST","TOT","PC_GDP","A","2013",23.83,
"AUT","GGCOST","TOT","PC_GDP","A","2014",23.91,
"BEL","GGCOST","TOT","PC_GDP","A","2007",23.86,
"BEL","GGCOST","TOT","PC_GDP","A","2008",24.92,
"BEL","GGCOST","TOT","PC_GDP","A","2009",26.55,
"BEL","GGCOST","TOT","PC_GDP","A","2010",26.1,
"BEL","GGCOST","TOT","PC_GDP","A","2011",26.38,
"BEL","GGCOST","TOT","PC_GDP","A","2012",26.92,
"BEL","GGCOST","TOT","PC_GDP","A","2013",27.12,
"BEL","GGCOST","TOT","PC_GDP","A","2014",27.19,
"CAN","GGCOST","TOT","PC_GDP","A","2007",22.68,
"CAN","GGCOST","TOT","PC_GDP","A","2008",23.25,
"CAN","GGCOST","TOT","PC_GDP","A","2009",26.03,
"CAN","GGCOST","TOT","PC_GDP","A","2010",25.51,
"CAN","GGCOST","TOT","PC_GDP","A","2011",24.98,
"CAN","GGCOST","TOT","PC_GDP","A","2012",24.94,
"CAN","GGCOST","TOT","PC_GDP","A","2013",24.94,
"CAN","GGCOST","TOT","PC_GDP","A","2014",24.47,
"CZE","GGCOST","TOT","PC_GDP","A","2007",21.87,
"CZE","GGCOST","TOT","PC_GDP","A","2008",21.91,
"CZE","GGCOST","TOT","PC_GDP","A","2009",23.68,
"CZE","GGCOST","TOT","PC_GDP","A","2010",23.29,"B"
"CZE","GGCOST","TOT","PC_GDP","A","2011",23.46,
"CZE","GGCOST","TOT","PC_GDP","A","2012",23.19,
"CZE","GGCOST","TOT","PC_GDP","A","2013",23.53,
"CZE","GGCOST","TOT","PC_GDP","A","2014",23.15,
"DNK","GGCOST","TOT","PC_GDP","A","2007",27.76,
"DNK","GGCOST","TOT","PC_GDP","A","2008",28.7,
"DNK","GGCOST","TOT","PC_GDP","A","2009",31.95,
"DNK","GGCOST","TOT","PC_GDP","A","2010",31.5,
"DNK","GGCOST","TOT","PC_GDP","A","2011",30.66,
"DNK","GGCOST","TOT","PC_GDP","A","2012",30.8,
"DNK","GGCOST","TOT","PC_GDP","A","2013",30.63,
"DNK","GGCOST","TOT","PC_GDP","A","2014",30.54,
"FIN","GGCOST","TOT","PC_GDP","A","2007",26.49,
"FIN","GGCOST","TOT","PC_GDP","A","2008",27.61,
"FIN","GGCOST","TOT","PC_GDP","A","2009",30.94,
"FIN","GGCOST","TOT","PC_GDP","A","2010",30.96,
"FIN","GGCOST","TOT","PC_GDP","A","2011",30.71,
"FIN","GGCOST","TOT","PC_GDP","A","2012",31.63,
"FIN","GGCOST","TOT","PC_GDP","A","2013",32.17,
"FIN","GGCOST","TOT","PC_GDP","A","2014",32.12,
"FRA","GGCOST","TOT","PC_GDP","A","2007",25.74,
"FRA","GGCOST","TOT","PC_GDP","A","2008",25.93,
"FRA","GGCOST","TOT","PC_GDP","A","2009",27.69,
"FRA","GGCOST","TOT","PC_GDP","A","2010",27.61,
"FRA","GGCOST","TOT","PC_GDP","A","2011",27.37,
"FRA","GGCOST","TOT","PC_GDP","A","2012",27.64,
"FRA","GGCOST","TOT","PC_GDP","A","2013",27.81,
"FRA","GGCOST","TOT","PC_GDP","A","2014",28.03,
"DEU","GGCOST","TOT","PC_GDP","A","2007",20.36,
"DEU","GGCOST","TOT","PC_GDP","A","2008",20.81,
"DEU","GGCOST","TOT","PC_GDP","A","2009",22.87,
"DEU","GGCOST","TOT","PC_GDP","A","2010",22.55,
"DEU","GGCOST","TOT","PC_GDP","A","2011",22.23,
"DEU","GGCOST","TOT","PC_GDP","A","2012",22.52,
