"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGRSV","TOT","MLN_SDR","A","1957",1329,
"AUS","GGRSV","TOT","MLN_SDR","A","1958",1106,
"AUS","GGRSV","TOT","MLN_SDR","A","1959",1250,
"AUS","GGRSV","TOT","MLN_SDR","A","1960",743,
"AUS","GGRSV","TOT","MLN_SDR","A","1961",1158,
"AUS","GGRSV","TOT","MLN_SDR","A","1962",1168,
"AUS","GGRSV","TOT","MLN_SDR","A","1963",1634,
"AUS","GGRSV","TOT","MLN_SDR","A","1964",1680,
"AUS","GGRSV","TOT","MLN_SDR","A","1965",1317,
"AUS","GGRSV","TOT","MLN_SDR","A","1966",1568,
"AUS","GGRSV","TOT","MLN_SDR","A","1967",1364,
"AUS","GGRSV","TOT","MLN_SDR","A","1968",1442,
"AUS","GGRSV","TOT","MLN_SDR","A","1969",1261,
"AUS","GGRSV","TOT","MLN_SDR","A","1970",1693,
"AUS","GGRSV","TOT","MLN_SDR","A","1971",3054,
"AUS","GGRSV","TOT","MLN_SDR","A","1972",5656,
"AUS","GGRSV","TOT","MLN_SDR","A","1973",4723,
"AUS","GGRSV","TOT","MLN_SDR","A","1974",3487,
"AUS","GGRSV","TOT","MLN_SDR","A","1975",2782,
"AUS","GGRSV","TOT","MLN_SDR","A","1976",2728,
"AUS","GGRSV","TOT","MLN_SDR","A","1977",1962,
"AUS","GGRSV","TOT","MLN_SDR","A","1978",1855,
"AUS","GGRSV","TOT","MLN_SDR","A","1979",1359,
"AUS","GGRSV","TOT","MLN_SDR","A","1980",1603,
"AUS","GGRSV","TOT","MLN_SDR","A","1981",1713,
"AUS","GGRSV","TOT","MLN_SDR","A","1982",6053,
"AUS","GGRSV","TOT","MLN_SDR","A","1983",8838,
"AUS","GGRSV","TOT","MLN_SDR","A","1984",7869,
"AUS","GGRSV","TOT","MLN_SDR","A","1985",5528,
"AUS","GGRSV","TOT","MLN_SDR","A","1986",6202,
"AUS","GGRSV","TOT","MLN_SDR","A","1987",6441,
