"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXSS","TOT","PC_GDP","A","1965",0,
"AUS","TAXSS","TOT","PC_GDP","A","1966",0,
"AUS","TAXSS","TOT","PC_GDP","A","1967",0,
"AUS","TAXSS","TOT","PC_GDP","A","1968",0,
"AUS","TAXSS","TOT","PC_GDP","A","1969",0,
"AUS","TAXSS","TOT","PC_GDP","A","1970",0,
"AUS","TAXSS","TOT","PC_GDP","A","1971",0,
"AUS","TAXSS","TOT","PC_GDP","A","1972",0,
"AUS","TAXSS","TOT","PC_GDP","A","1973",0,
"AUS","TAXSS","TOT","PC_GDP","A","1974",0,
"AUS","TAXSS","TOT","PC_GDP","A","1975",0,
"AUS","TAXSS","TOT","PC_GDP","A","1976",0,
"AUS","TAXSS","TOT","PC_GDP","A","1977",0,
"AUS","TAXSS","TOT","PC_GDP","A","1978",0,
"AUS","TAXSS","TOT","PC_GDP","A","1979",0,
"AUS","TAXSS","TOT","PC_GDP","A","1980",0,
"AUS","TAXSS","TOT","PC_GDP","A","1981",0,
"AUS","TAXSS","TOT","PC_GDP","A","1982",0,
"AUS","TAXSS","TOT","PC_GDP","A","1983",0,
"AUS","TAXSS","TOT","PC_GDP","A","1984",0,
"AUS","TAXSS","TOT","PC_GDP","A","1985",0,
"AUS","TAXSS","TOT","PC_GDP","A","1986",0,
"AUS","TAXSS","TOT","PC_GDP","A","1987",0,
"AUS","TAXSS","TOT","PC_GDP","A","1988",0,
"AUS","TAXSS","TOT","PC_GDP","A","1989",0,
"AUS","TAXSS","TOT","PC_GDP","A","1990",0,
"AUS","TAXSS","TOT","PC_GDP","A","1991",0,
"AUS","TAXSS","TOT","PC_GDP","A","1992",0,
"AUS","TAXSS","TOT","PC_GDP","A","1993",0,
"AUS","TAXSS","TOT","PC_GDP","A","1994",0,
"AUS","TAXSS","TOT","PC_GDP","A","1995",0,
"AUS","TAXSS","TOT","PC_GDP","A","1996",0,
"AUS","TAXSS","TOT","PC_GDP","A","1997",0,
"AUS","TAXSS","TOT","PC_GDP","A","1998",0,
"AUS","TAXSS","TOT","PC_GDP","A","1999",0,
"AUS","TAXSS","TOT","PC_GDP","A","2000",0,
"AUS","TAXSS","TOT","PC_GDP","A","2001",0,
"AUS","TAXSS","TOT","PC_GDP","A","2002",0,
"AUS","TAXSS","TOT","PC_GDP","A","2003",0,
"AUS","TAXSS","TOT","PC_GDP","A","2004",0,
"AUS","TAXSS","TOT","PC_GDP","A","2005",0,
"AUS","TAXSS","TOT","PC_GDP","A","2006",0,
"AUS","TAXSS","TOT","PC_GDP","A","2007",0,
"AUS","TAXSS","TOT","PC_GDP","A","2008",0,
"AUS","TAXSS","TOT","PC_GDP","A","2009",0,
"AUS","TAXSS","TOT","PC_GDP","A","2010",0,
"AUS","TAXSS","TOT","PC_GDP","A","2011",0,
"AUS","TAXSS","TOT","PC_GDP","A","2012",0,
"AUS","TAXSS","TOT","PC_GDP","A","2013",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1965",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1966",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1967",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1968",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1969",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1970",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1971",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1972",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1973",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1974",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1975",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1976",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1977",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1978",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1979",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1980",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1981",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1982",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1983",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1984",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1985",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1986",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1987",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1988",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1989",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1990",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1991",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1992",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1993",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1994",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1995",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1996",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1997",0,
"AUS","TAXSS","TOT","PC_TOT_TAX","A","1998",0,
