"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXCORP","TOT","PC_GDP","A","1965",3.361,
"AUS","TAXCORP","TOT","PC_GDP","A","1966",2.975,
"AUS","TAXCORP","TOT","PC_GDP","A","1967",2.95,
"AUS","TAXCORP","TOT","PC_GDP","A","1968",3.181,
"AUS","TAXCORP","TOT","PC_GDP","A","1969",3.25,
"AUS","TAXCORP","TOT","PC_GDP","A","1970",3.584,
"AUS","TAXCORP","TOT","PC_GDP","A","1971",3.453,
"AUS","TAXCORP","TOT","PC_GDP","A","1972",3.287,
"AUS","TAXCORP","TOT","PC_GDP","A","1973",3.375,
"AUS","TAXCORP","TOT","PC_GDP","A","1974",3.441,
"AUS","TAXCORP","TOT","PC_GDP","A","1975",3.148,
"AUS","TAXCORP","TOT","PC_GDP","A","1976",3.043,
"AUS","TAXCORP","TOT","PC_GDP","A","1977",3.07,
"AUS","TAXCORP","TOT","PC_GDP","A","1978",2.664,
"AUS","TAXCORP","TOT","PC_GDP","A","1979",2.634,
"AUS","TAXCORP","TOT","PC_GDP","A","1980",3.19,
"AUS","TAXCORP","TOT","PC_GDP","A","1981",2.992,
"AUS","TAXCORP","TOT","PC_GDP","A","1982",2.715,
"AUS","TAXCORP","TOT","PC_GDP","A","1983",2.334,
"AUS","TAXCORP","TOT","PC_GDP","A","1984",2.587,
"AUS","TAXCORP","TOT","PC_GDP","A","1985",2.598,
"AUS","TAXCORP","TOT","PC_GDP","A","1986",2.601,
"AUS","TAXCORP","TOT","PC_GDP","A","1987",2.949,
"AUS","TAXCORP","TOT","PC_GDP","A","1988",3.02,
"AUS","TAXCORP","TOT","PC_GDP","A","1989",3.557,
"AUS","TAXCORP","TOT","PC_GDP","A","1990",3.972,
"AUS","TAXCORP","TOT","PC_GDP","A","1991",3.837,
"AUS","TAXCORP","TOT","PC_GDP","A","1992",3.764,
"AUS","TAXCORP","TOT","PC_GDP","A","1993",3.389,
"AUS","TAXCORP","TOT","PC_GDP","A","1994",3.886,
"AUS","TAXCORP","TOT","PC_GDP","A","1995",4.161,
"AUS","TAXCORP","TOT","PC_GDP","A","1996",4.34,
"AUS","TAXCORP","TOT","PC_GDP","A","1997",4.176,
"AUS","TAXCORP","TOT","PC_GDP","A","1998",4.279,
"AUS","TAXCORP","TOT","PC_GDP","A","1999",4.651,
"AUS","TAXCORP","TOT","PC_GDP","A","2000",6.159,
"AUS","TAXCORP","TOT","PC_GDP","A","2001",4.345,
"AUS","TAXCORP","TOT","PC_GDP","A","2002",4.945,
"AUS","TAXCORP","TOT","PC_GDP","A","2003",4.961,
"AUS","TAXCORP","TOT","PC_GDP","A","2004",5.469,
"AUS","TAXCORP","TOT","PC_GDP","A","2005",5.755,
"AUS","TAXCORP","TOT","PC_GDP","A","2006",6.379,
"AUS","TAXCORP","TOT","PC_GDP","A","2007",6.809,
"AUS","TAXCORP","TOT","PC_GDP","A","2008",5.831,
"AUS","TAXCORP","TOT","PC_GDP","A","2009",4.763,
"AUS","TAXCORP","TOT","PC_GDP","A","2010",4.689,
"AUS","TAXCORP","TOT","PC_GDP","A","2011",5.182,
"AUS","TAXCORP","TOT","PC_GDP","A","2012",5.177,
"AUS","TAXCORP","TOT","PC_GDP","A","2013",4.939,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1965",16.282,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1966",14.975,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1967",14.43,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1968",15.613,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1969",15.686,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1970",16.976,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1971",15.792,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1972",15.343,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1973",14.993,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1974",13.958,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1975",12.396,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1976",11.898,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1977",12.066,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1978",10.853,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1979",10.468,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1980",12.165,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1981",11.336,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1982",10.102,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1983",8.937,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1984",9.338,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1985",9.361,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1986",9.116,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1987",10.303,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1988",10.681,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1989",12.705,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1990",14.146,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1991",14.406,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1992",14.424,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1993",12.765,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1994",14.157,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1995",14.751,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1996",15.041,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1997",14.583,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1998",14.543,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","1999",15.595,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","2000",20.236,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","2001",15.021,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","2002",16.606,
