"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1965",7.166,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1966",6.849,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1967",6.96,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1968",6.84,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1969",6.668,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1970",6.748,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1971",6.811,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1972",6.652,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1973",6.658,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1974",6.824,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1975",7.448,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1976",7.341,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1977",7.211,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1978",7.691,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1979",8.007,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1980",8.156,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1981",7.997,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1982",8.636,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1983",8.827,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1984",9.195,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1985",9.118,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1986",8.845,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1987",8.633,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1988",8.058,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1989",8.037,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1990",7.813,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1991",7.394,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1992",7.39,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1993",7.833,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1994",8.088,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1995",8.184,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1996",8.065,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1997",7.887,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1998",8.052,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1999",7.816,
