"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1965",0.645,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1966",0.608,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1967",0.617,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1968",0.609,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1969",0.6,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1970",0.581,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1971",0.913,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1972",0.943,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1973",1.154,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1974",1.463,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1975",1.474,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1976",1.443,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1977",1.419,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1978",1.335,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1979",1.309,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1980",1.307,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1981",1.405,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1982",1.441,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1983",1.319,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1984",1.324,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1985",1.314,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1986",1.483,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1987",1.523,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1988",1.561,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1989",1.587,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1990",1.715,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1991",1.727,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1992",1.627,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1993",1.612,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1994",1.901,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1995",1.925,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1996",1.948,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1997",1.915,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1998",1.376,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","1999",1.37,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2000",1.365,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2001",1.304,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2002",1.3,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2003",1.302,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2004",1.333,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2005",1.349,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2006",1.353,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2007",1.392,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2008",1.375,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2009",1.335,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2010",1.313,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2011",1.365,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2012",1.41,
"AUS","TAXPAYROLL","TOT","PC_GDP","A","2013",1.405,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1965",3.125,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1966",3.062,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1967",3.02,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1968",2.988,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1969",2.896,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1970",2.751,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1971",4.177,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1972",4.404,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1973",5.125,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1974",5.932,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1975",5.805,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1976",5.641,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1977",5.579,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1978",5.439,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1979",5.2,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1980",4.985,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1981",5.325,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1982",5.362,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1983",5.053,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1984",4.777,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1985",4.734,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1986",5.199,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1987",5.321,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1988",5.52,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1989",5.668,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1990",6.107,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1991",6.484,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1992",6.234,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1993",6.071,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1994",6.926,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1995",6.825,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1996",6.75,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1997",6.689,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1998",4.678,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","1999",4.593,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2000",4.484,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2001",4.509,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2002",4.365,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2003",4.353,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2004",4.404,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2005",4.511,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2006",4.588,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2007",4.696,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2008",5.088,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2009",5.18,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2010",5.137,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2011",5.198,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2012",5.156,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2013",5.109,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1965",2.551,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1966",2.626,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1967",2.755,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1968",2.718,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1969",2.711,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1970",2.6,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1971",2.672,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1972",2.653,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1973",2.734,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1974",2.777,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1975",2.923,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1976",2.919,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1977",2.957,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1978",2.796,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1979",2.72,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1980",2.725,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1981",2.567,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1982",2.49,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1983",2.404,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1984",2.313,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1985",2.31,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1986",2.326,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1987",2.344,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1988",2.319,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1989",2.344,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1990",2.375,
"AUT","TAXPAYROLL","TOT","PC_GDP","A","1991",2.403,
