"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","1965",7.105,
"AUS","TAXINCOME","TOT","PC_GDP","A","1966",7.081,
"AUS","TAXINCOME","TOT","PC_GDP","A","1967",7.461,
"AUS","TAXINCOME","TOT","PC_GDP","A","1968",7.271,
"AUS","TAXINCOME","TOT","PC_GDP","A","1969",7.751,
"AUS","TAXINCOME","TOT","PC_GDP","A","1970",7.88,
"AUS","TAXINCOME","TOT","PC_GDP","A","1971",8.469,
"AUS","TAXINCOME","TOT","PC_GDP","A","1972",8.214,
"AUS","TAXINCOME","TOT","PC_GDP","A","1973",9.104,
"AUS","TAXINCOME","TOT","PC_GDP","A","1974",10.842,
"AUS","TAXINCOME","TOT","PC_GDP","A","1975",11.078,
"AUS","TAXINCOME","TOT","PC_GDP","A","1976",11.507,
"AUS","TAXINCOME","TOT","PC_GDP","A","1977",11.56,
"AUS","TAXINCOME","TOT","PC_GDP","A","1978",10.794,
"AUS","TAXINCOME","TOT","PC_GDP","A","1979",11.191,
"AUS","TAXINCOME","TOT","PC_GDP","A","1980",11.529,
"AUS","TAXINCOME","TOT","PC_GDP","A","1981",12.08,
"AUS","TAXINCOME","TOT","PC_GDP","A","1982",12.136,
"AUS","TAXINCOME","TOT","PC_GDP","A","1983",11.563,
"AUS","TAXINCOME","TOT","PC_GDP","A","1984",12.452,
"AUS","TAXINCOME","TOT","PC_GDP","A","1985",12.555,
"AUS","TAXINCOME","TOT","PC_GDP","A","1986",13.297,
"AUS","TAXINCOME","TOT","PC_GDP","A","1987",12.902,
"AUS","TAXINCOME","TOT","PC_GDP","A","1988",12.897,
"AUS","TAXINCOME","TOT","PC_GDP","A","1989",12.345,
"AUS","TAXINCOME","TOT","PC_GDP","A","1990",12.066,
"AUS","TAXINCOME","TOT","PC_GDP","A","1991",11.071,
"AUS","TAXINCOME","TOT","PC_GDP","A","1992",10.703,
"AUS","TAXINCOME","TOT","PC_GDP","A","1993",10.988,
"AUS","TAXINCOME","TOT","PC_GDP","A","1994",11.023,
"AUS","TAXINCOME","TOT","PC_GDP","A","1995",11.455,
"AUS","TAXINCOME","TOT","PC_GDP","A","1996",11.906,
"AUS","TAXINCOME","TOT","PC_GDP","A","1997",12.023,
"AUS","TAXINCOME","TOT","PC_GDP","A","1998",13.067,
"AUS","TAXINCOME","TOT","PC_GDP","A","1999",13.241,
"AUS","TAXINCOME","TOT","PC_GDP","A","2000",11.508,
"AUS","TAXINCOME","TOT","PC_GDP","A","2001",11.942,
"AUS","TAXINCOME","TOT","PC_GDP","A","2002",11.8,
"AUS","TAXINCOME","TOT","PC_GDP","A","2003",11.918,
"AUS","TAXINCOME","TOT","PC_GDP","A","2004",12.175,
"AUS","TAXINCOME","TOT","PC_GDP","A","2005",11.874,
"AUS","TAXINCOME","TOT","PC_GDP","A","2006",11.014,
"AUS","TAXINCOME","TOT","PC_GDP","A","2007",10.861,
