"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","AGRWTH","A","1966",7.265,
"AUS","TAXREV","TOT","AGRWTH","A","1967",10.596,
"AUS","TAXREV","TOT","AGRWTH","A","1968",11.762,
"AUS","TAXREV","TOT","AGRWTH","A","1969",14.562,
"AUS","TAXREV","TOT","AGRWTH","A","1970",11.466,
"AUS","TAXREV","TOT","AGRWTH","A","1971",14.272,
"AUS","TAXREV","TOT","AGRWTH","A","1972",9.568,
"AUS","TAXREV","TOT","AGRWTH","A","1973",27.324,
"AUS","TAXREV","TOT","AGRWTH","A","1974",29.285,
"AUS","TAXREV","TOT","AGRWTH","A","1975",20.472,
"AUS","TAXREV","TOT","AGRWTH","A","1976",16.245,
"AUS","TAXREV","TOT","AGRWTH","A","1977",8.635,
"AUS","TAXREV","TOT","AGRWTH","A","1978",9.062,
"AUS","TAXREV","TOT","AGRWTH","A","1979",16.223,
"AUS","TAXREV","TOT","AGRWTH","A","1980",17.958,
"AUS","TAXREV","TOT","AGRWTH","A","1981",16.184,
"AUS","TAXREV","TOT","AGRWTH","A","1982",9.648,
"AUS","TAXREV","TOT","AGRWTH","A","1983",9.663,
"AUS","TAXREV","TOT","AGRWTH","A","1984",16.858,
"AUS","TAXREV","TOT","AGRWTH","A","1985",10.961,
"AUS","TAXREV","TOT","AGRWTH","A","1986",12.861,
"AUS","TAXREV","TOT","AGRWTH","A","1987",13.786,
"AUS","TAXREV","TOT","AGRWTH","A","1988",12.107,
"AUS","TAXREV","TOT","AGRWTH","A","1989",8.783,
"AUS","TAXREV","TOT","AGRWTH","A","1990",2.973,
"AUS","TAXREV","TOT","AGRWTH","A","1991",-3.301,
"AUS","TAXREV","TOT","AGRWTH","A","1992",2.859,
"AUS","TAXREV","TOT","AGRWTH","A","1993",6.934,
"AUS","TAXREV","TOT","AGRWTH","A","1994",9.79,
"AUS","TAXREV","TOT","AGRWTH","A","1995",9.694,
"AUS","TAXREV","TOT","AGRWTH","A","1996",7.627,
"AUS","TAXREV","TOT","AGRWTH","A","1997",4.964,
"AUS","TAXREV","TOT","AGRWTH","A","1998",8.259,
"AUS","TAXREV","TOT","AGRWTH","A","1999",7.973,
"AUS","TAXREV","TOT","AGRWTH","A","2000",8.928,
"AUS","TAXREV","TOT","AGRWTH","A","2001",1.544,
"AUS","TAXREV","TOT","AGRWTH","A","2002",9.428,
"AUS","TAXREV","TOT","AGRWTH","A","2003",8.065,
"AUS","TAXREV","TOT","AGRWTH","A","2004",8.313,
"AUS","TAXREV","TOT","AGRWTH","A","2005",6.92,
"AUS","TAXREV","TOT","AGRWTH","A","2006",7.405,
"AUS","TAXREV","TOT","AGRWTH","A","2007",8.988,
"AUS","TAXREV","TOT","AGRWTH","A","2008",-2.677,
"AUS","TAXREV","TOT","AGRWTH","A","2009",-1.769,
"AUS","TAXREV","TOT","AGRWTH","A","2010",7.758,
"AUS","TAXREV","TOT","AGRWTH","A","2011",8.536,
"AUS","TAXREV","TOT","AGRWTH","A","2012",6.45,
"AUS","TAXREV","TOT","AGRWTH","A","2013",4.591,
"AUS","TAXREV","TOT","PC_GDP","A","1965",20.644,
"AUS","TAXREV","TOT","PC_GDP","A","1966",19.865,
"AUS","TAXREV","TOT","PC_GDP","A","1967",20.445,
"AUS","TAXREV","TOT","PC_GDP","A","1968",20.376,
"AUS","TAXREV","TOT","PC_GDP","A","1969",20.717,
"AUS","TAXREV","TOT","PC_GDP","A","1970",21.11,
"AUS","TAXREV","TOT","PC_GDP","A","1971",21.863,
"AUS","TAXREV","TOT","PC_GDP","A","1972",21.421,
"AUS","TAXREV","TOT","PC_GDP","A","1973",22.508,
"AUS","TAXREV","TOT","PC_GDP","A","1974",24.655,
"AUS","TAXREV","TOT","PC_GDP","A","1975",25.396,
"AUS","TAXREV","TOT","PC_GDP","A","1976",25.574,
"AUS","TAXREV","TOT","PC_GDP","A","1977",25.442,
"AUS","TAXREV","TOT","PC_GDP","A","1978",24.548,
"AUS","TAXREV","TOT","PC_GDP","A","1979",25.166,
"AUS","TAXREV","TOT","PC_GDP","A","1980",26.224,
"AUS","TAXREV","TOT","PC_GDP","A","1981",26.395,
"AUS","TAXREV","TOT","PC_GDP","A","1982",26.873,
"AUS","TAXREV","TOT","PC_GDP","A","1983",26.111,
"AUS","TAXREV","TOT","PC_GDP","A","1984",27.71,
"AUS","TAXREV","TOT","PC_GDP","A","1985",27.759,
"AUS","TAXREV","TOT","PC_GDP","A","1986",28.528,
"AUS","TAXREV","TOT","PC_GDP","A","1987",28.627,
"AUS","TAXREV","TOT","PC_GDP","A","1988",28.278,
"AUS","TAXREV","TOT","PC_GDP","A","1989",27.999,
"AUS","TAXREV","TOT","PC_GDP","A","1990",28.079,
"AUS","TAXREV","TOT","PC_GDP","A","1991",26.632,
"AUS","TAXREV","TOT","PC_GDP","A","1992",26.093,
"AUS","TAXREV","TOT","PC_GDP","A","1993",26.549,
"AUS","TAXREV","TOT","PC_GDP","A","1994",27.447,
"AUS","TAXREV","TOT","PC_GDP","A","1995",28.207,
"AUS","TAXREV","TOT","PC_GDP","A","1996",28.853,
"AUS","TAXREV","TOT","PC_GDP","A","1997",28.635,
"AUS","TAXREV","TOT","PC_GDP","A","1998",29.423,
"AUS","TAXREV","TOT","PC_GDP","A","1999",29.822,
"AUS","TAXREV","TOT","PC_GDP","A","2000",30.435,
"AUS","TAXREV","TOT","PC_GDP","A","2001",28.927,
"AUS","TAXREV","TOT","PC_GDP","A","2002",29.781,
"AUS","TAXREV","TOT","PC_GDP","A","2003",29.916,
"AUS","TAXREV","TOT","PC_GDP","A","2004",30.271,
"AUS","TAXREV","TOT","PC_GDP","A","2005",29.91,
"AUS","TAXREV","TOT","PC_GDP","A","2006",29.493,
"AUS","TAXREV","TOT","PC_GDP","A","2007",29.651,
"AUS","TAXREV","TOT","PC_GDP","A","2008",27.03,
"AUS","TAXREV","TOT","PC_GDP","A","2009",25.781,
"AUS","TAXREV","TOT","PC_GDP","A","2010",25.568,
"AUS","TAXREV","TOT","PC_GDP","A","2011",26.256,
"AUS","TAXREV","TOT","PC_GDP","A","2012",27.344,
"AUS","TAXREV","TOT","PC_GDP","A","2013",27.496,
"AUS","TAXREV","TOT","USD","A","1965",5624.981,
"AUS","TAXREV","TOT","USD","A","1966",5997.482,
"AUS","TAXREV","TOT","USD","A","1967",6630.51,
"AUS","TAXREV","TOT","USD","A","1968",7410.376,
"AUS","TAXREV","TOT","USD","A","1969",8478.082,
"AUS","TAXREV","TOT","USD","A","1970",9472.611,
"AUS","TAXREV","TOT","USD","A","1971",11040.449,
"AUS","TAXREV","TOT","USD","A","1972",12698.257,
"AUS","TAXREV","TOT","USD","A","1973",19316.212,
"AUS","TAXREV","TOT","USD","A","1974",25294.988,
"AUS","TAXREV","TOT","USD","A","1975",27802.061,
"AUS","TAXREV","TOT","USD","A","1976",30091.796,
"AUS","TAXREV","TOT","USD","A","1977",29622.342,
"AUS","TAXREV","TOT","USD","A","1978",33336.195,
"AUS","TAXREV","TOT","USD","A","1979",37789.482,
"AUS","TAXREV","TOT","USD","A","1980",45464.889,
"AUS","TAXREV","TOT","USD","A","1981",53286.716,
"AUS","TAXREV","TOT","USD","A","1982",51521.017,
"AUS","TAXREV","TOT","USD","A","1983",50231.09,
"AUS","TAXREV","TOT","USD","A","1984",57073.25,
"AUS","TAXREV","TOT","USD","A","1985",50455.319,
"AUS","TAXREV","TOT","USD","A","1986",54498.809,
"AUS","TAXREV","TOT","USD","A","1987",64927.975,
"AUS","TAXREV","TOT","USD","A","1988",81212.796,
"AUS","TAXREV","TOT","USD","A","1989",89446.745,
"AUS","TAXREV","TOT","USD","A","1990",90885.758,
"AUS","TAXREV","TOT","USD","A","1991",87734.437,
"AUS","TAXREV","TOT","USD","A","1992",85059.169,
"AUS","TAXREV","TOT","USD","A","1993",84118.672,
"AUS","TAXREV","TOT","USD","A","1994",99367.381,
"AUS","TAXREV","TOT","USD","A","1995",110576.777,
"AUS","TAXREV","TOT","USD","A","1996",125781.287,
"AUS","TAXREV","TOT","USD","A","1997",125057.677,
"AUS","TAXREV","TOT","USD","A","1998",114617.94,
"AUS","TAXREV","TOT","USD","A","1999",127161.36,
"AUS","TAXREV","TOT","USD","A","2000",124326.027,
"AUS","TAXREV","TOT","USD","A","2001",112621.643,
"AUS","TAXREV","TOT","USD","A","2002",129536.408,
"AUS","TAXREV","TOT","USD","A","2003",167204.767,
"AUS","TAXREV","TOT","USD","A","2004",205393.002,
"AUS","TAXREV","TOT","USD","A","2005",227376.22,
"AUS","TAXREV","TOT","USD","A","2006",241432.207,
"AUS","TAXREV","TOT","USD","A","2007",292353.556,
"AUS","TAXREV","TOT","USD","A","2008",283977.216,
"AUS","TAXREV","TOT","USD","A","2009",260534.77,
"AUS","TAXREV","TOT","USD","A","2010",330187.052,
"AUS","TAXREV","TOT","USD","A","2011",403110.52,
"AUS","TAXREV","TOT","USD","A","2012",430542.514,
"AUS","TAXREV","TOT","USD","A","2013",419701.758,
"AUS","TAXREV","TOT","USD_CAP","A","1965",495.991,
"AUS","TAXREV","TOT","USD_CAP","A","1966",517.047,
"AUS","TAXREV","TOT","USD_CAP","A","1967",561.951,
"AUS","TAXREV","TOT","USD_CAP","A","1968",617.088,
"AUS","TAXREV","TOT","USD_CAP","A","1969",691.354,
"AUS","TAXREV","TOT","USD_CAP","A","1970",757.364,
"AUS","TAXREV","TOT","USD_CAP","A","1971",844.894,
"AUS","TAXREV","TOT","USD_CAP","A","1972",954.493,
"AUS","TAXREV","TOT","USD_CAP","A","1973",1430.349,
"AUS","TAXREV","TOT","USD_CAP","A","1974",1843.313,
"AUS","TAXREV","TOT","USD_CAP","A","1975",2001.156,
"AUS","TAXREV","TOT","USD_CAP","A","1976",2144.347,
"AUS","TAXREV","TOT","USD_CAP","A","1977",2087.223,
"AUS","TAXREV","TOT","USD_CAP","A","1978",2321.583,
"AUS","TAXREV","TOT","USD_CAP","A","1979",2603.347,
"AUS","TAXREV","TOT","USD_CAP","A","1980",3093.826,
"AUS","TAXREV","TOT","USD_CAP","A","1981",3570.715,
"AUS","TAXREV","TOT","USD_CAP","A","1982",3393.056,
"AUS","TAXREV","TOT","USD_CAP","A","1983",3263.143,
"AUS","TAXREV","TOT","USD_CAP","A","1984",3663.382,
"AUS","TAXREV","TOT","USD_CAP","A","1985",3195.739,
"AUS","TAXREV","TOT","USD_CAP","A","1986",3402.274,
"AUS","TAXREV","TOT","USD_CAP","A","1987",3992.16,
"AUS","TAXREV","TOT","USD_CAP","A","1988",4912.413,
"AUS","TAXREV","TOT","USD_CAP","A","1989",5319.645,
"AUS","TAXREV","TOT","USD_CAP","A","1990",5325.817,
"AUS","TAXREV","TOT","USD_CAP","A","1991",5076.038,
"AUS","TAXREV","TOT","USD_CAP","A","1992",4866.364,
"AUS","TAXREV","TOT","USD_CAP","A","1993",4770.255,
"AUS","TAXREV","TOT","USD_CAP","A","1994",5580.869,
"AUS","TAXREV","TOT","USD_CAP","A","1995",6141.789,
"AUS","TAXREV","TOT","USD_CAP","A","1996",6901.201,
"AUS","TAXREV","TOT","USD_CAP","A","1997",6788.865,
"AUS","TAXREV","TOT","USD_CAP","A","1998",6159.275,
"AUS","TAXREV","TOT","USD_CAP","A","1999",6759.228,
"AUS","TAXREV","TOT","USD_CAP","A","2000",6533.846,
"AUS","TAXREV","TOT","USD_CAP","A","2001",5842.887,
"AUS","TAXREV","TOT","USD_CAP","A","2002",6644.596,
"AUS","TAXREV","TOT","USD_CAP","A","2003",8478.944,
"AUS","TAXREV","TOT","USD_CAP","A","2004",10303.652,
"AUS","TAXREV","TOT","USD_CAP","A","2005",11268.521,
"AUS","TAXREV","TOT","USD_CAP","A","2006",11804.821,
"AUS","TAXREV","TOT","USD_CAP","A","2007",14036.564,
"AUS","TAXREV","TOT","USD_CAP","A","2008",13363.005,
"AUS","TAXREV","TOT","USD_CAP","A","2009",12011.746,
"AUS","TAXREV","TOT","USD_CAP","A","2010",14986.704,
"AUS","TAXREV","TOT","USD_CAP","A","2011",18044.338,
"AUS","TAXREV","TOT","USD_CAP","A","2012",18946.599,
"AUS","TAXREV","TOT","USD_CAP","A","2013",18143.773,
"AUT","TAXREV","TOT","AGRWTH","A","1966",11.192,
"AUT","TAXREV","TOT","AGRWTH","A","1967",6.042,
"AUT","TAXREV","TOT","AGRWTH","A","1968",7.589,
"AUT","TAXREV","TOT","AGRWTH","A","1969",10.624,
"AUT","TAXREV","TOT","AGRWTH","A","1970",11.946,
"AUT","TAXREV","TOT","AGRWTH","A","1971",13.876,
"AUT","TAXREV","TOT","AGRWTH","A","1972",15.674,
"AUT","TAXREV","TOT","AGRWTH","A","1973",13.886,
"AUT","TAXREV","TOT","AGRWTH","A","1974",17.007,
"AUT","TAXREV","TOT","AGRWTH","A","1975",7.581,
"AUT","TAXREV","TOT","AGRWTH","A","1976",10.064,
"AUT","TAXREV","TOT","AGRWTH","A","1977",11.594,
"AUT","TAXREV","TOT","AGRWTH","A","1978",11.966,
"AUT","TAXREV","TOT","AGRWTH","A","1979",8.003,
"AUT","TAXREV","TOT","AGRWTH","A","1980",8.757,
"AUT","TAXREV","TOT","AGRWTH","A","1981",9.531,
"AUT","TAXREV","TOT","AGRWTH","A","1982",4.156,
"AUT","TAXREV","TOT","AGRWTH","A","1983",5.692,
"AUT","TAXREV","TOT","AGRWTH","A","1984",9.579,
"AUT","TAXREV","TOT","AGRWTH","A","1985",7.291,
"AUT","TAXREV","TOT","AGRWTH","A","1986",5.069,
"AUT","TAXREV","TOT","AGRWTH","A","1987",2.848,
"AUT","TAXREV","TOT","AGRWTH","A","1988",4.876,
"AUT","TAXREV","TOT","AGRWTH","A","1989",4.25,
"AUT","TAXREV","TOT","AGRWTH","A","1990",8.42,
"AUT","TAXREV","TOT","AGRWTH","A","1991",8.466,
"AUT","TAXREV","TOT","AGRWTH","A","1992",9.722,
"AUT","TAXREV","TOT","AGRWTH","A","1993",4.314,
"AUT","TAXREV","TOT","AGRWTH","A","1994",4.314,
"AUT","TAXREV","TOT","AGRWTH","A","1995",3.371,
