"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXWEDGE","TOT","PC_LC","A","2000",31.012,
"AUS","TAXWEDGE","TOT","PC_LC","A","2001",27.63,
"AUS","TAXWEDGE","TOT","PC_LC","A","2002",27.973,
"AUS","TAXWEDGE","TOT","PC_LC","A","2003",28.247,
"AUS","TAXWEDGE","TOT","PC_LC","A","2004",28.193,
"AUS","TAXWEDGE","TOT","PC_LC","A","2005",28.508,
"AUS","TAXWEDGE","TOT","PC_LC","A","2006",28.282,
"AUS","TAXWEDGE","TOT","PC_LC","A","2007",27.697,
"AUS","TAXWEDGE","TOT","PC_LC","A","2008",26.932,
"AUS","TAXWEDGE","TOT","PC_LC","A","2009",26.749,
"AUS","TAXWEDGE","TOT","PC_LC","A","2010",26.829,
"AUS","TAXWEDGE","TOT","PC_LC","A","2011",26.65,
"AUS","TAXWEDGE","TOT","PC_LC","A","2012",27.208,
"AUS","TAXWEDGE","TOT","PC_LC","A","2013",27.409,
"AUS","TAXWEDGE","TOT","PC_LC","A","2014",27.697,
"AUT","TAXWEDGE","TOT","PC_LC","A","2000",47.312,
"AUT","TAXWEDGE","TOT","PC_LC","A","2001",46.911,
"AUT","TAXWEDGE","TOT","PC_LC","A","2002",47.074,
"AUT","TAXWEDGE","TOT","PC_LC","A","2003",47.378,
"AUT","TAXWEDGE","TOT","PC_LC","A","2004",48.266,
"AUT","TAXWEDGE","TOT","PC_LC","A","2005",48.143,
"AUT","TAXWEDGE","TOT","PC_LC","A","2006",48.454,
"AUT","TAXWEDGE","TOT","PC_LC","A","2007",48.76,
"AUT","TAXWEDGE","TOT","PC_LC","A","2008",49.033,
"AUT","TAXWEDGE","TOT","PC_LC","A","2009",47.949,
"AUT","TAXWEDGE","TOT","PC_LC","A","2010",48.169,
"AUT","TAXWEDGE","TOT","PC_LC","A","2011",48.54,
"AUT","TAXWEDGE","TOT","PC_LC","A","2012",48.84,
"AUT","TAXWEDGE","TOT","PC_LC","A","2013",49.184,
"AUT","TAXWEDGE","TOT","PC_LC","A","2014",49.353,
"BEL","TAXWEDGE","TOT","PC_LC","A","2000",57.104,
"BEL","TAXWEDGE","TOT","PC_LC","A","2001",56.661,
"BEL","TAXWEDGE","TOT","PC_LC","A","2002",56.331,
"BEL","TAXWEDGE","TOT","PC_LC","A","2003",55.74,
"BEL","TAXWEDGE","TOT","PC_LC","A","2004",55.434,
"BEL","TAXWEDGE","TOT","PC_LC","A","2005",55.51,
"BEL","TAXWEDGE","TOT","PC_LC","A","2006",55.486,
"BEL","TAXWEDGE","TOT","PC_LC","A","2007",55.56,
"BEL","TAXWEDGE","TOT","PC_LC","A","2008",55.883,
"BEL","TAXWEDGE","TOT","PC_LC","A","2009",55.654,
"BEL","TAXWEDGE","TOT","PC_LC","A","2010",55.932,
"BEL","TAXWEDGE","TOT","PC_LC","A","2011",56.087,
"BEL","TAXWEDGE","TOT","PC_LC","A","2012",55.994,
"BEL","TAXWEDGE","TOT","PC_LC","A","2013",55.657,
"BEL","TAXWEDGE","TOT","PC_LC","A","2014",55.576,
"CAN","TAXWEDGE","TOT","PC_LC","A","2000",32.894,
"CAN","TAXWEDGE","TOT","PC_LC","A","2001",31.558,
"CAN","TAXWEDGE","TOT","PC_LC","A","2002",31.721,
"CAN","TAXWEDGE","TOT","PC_LC","A","2003",31.684,
"CAN","TAXWEDGE","TOT","PC_LC","A","2004",31.867,
"CAN","TAXWEDGE","TOT","PC_LC","A","2005",31.867,
"CAN","TAXWEDGE","TOT","PC_LC","A","2006",31.764,
"CAN","TAXWEDGE","TOT","PC_LC","A","2007",31.273,
"CAN","TAXWEDGE","TOT","PC_LC","A","2008",31.271,
"CAN","TAXWEDGE","TOT","PC_LC","A","2009",30.534,
"CAN","TAXWEDGE","TOT","PC_LC","A","2010",30.417,
"CAN","TAXWEDGE","TOT","PC_LC","A","2011",30.666,
"CAN","TAXWEDGE","TOT","PC_LC","A","2012",30.823,
"CAN","TAXWEDGE","TOT","PC_LC","A","2013",30.998,
"CAN","TAXWEDGE","TOT","PC_LC","A","2014",31.518,
"CZE","TAXWEDGE","TOT","PC_LC","A","2000",42.586,
"CZE","TAXWEDGE","TOT","PC_LC","A","2001",42.588,
"CZE","TAXWEDGE","TOT","PC_LC","A","2002",42.975,
"CZE","TAXWEDGE","TOT","PC_LC","A","2003",43.213,
"CZE","TAXWEDGE","TOT","PC_LC","A","2004",43.518,
"CZE","TAXWEDGE","TOT","PC_LC","A","2005",43.729,
"CZE","TAXWEDGE","TOT","PC_LC","A","2006",42.526,
"CZE","TAXWEDGE","TOT","PC_LC","A","2007",42.883,
"CZE","TAXWEDGE","TOT","PC_LC","A","2008",43.437,
"CZE","TAXWEDGE","TOT","PC_LC","A","2009",42.006,
"CZE","TAXWEDGE","TOT","PC_LC","A","2010",42.13,
"CZE","TAXWEDGE","TOT","PC_LC","A","2011",42.607,
"CZE","TAXWEDGE","TOT","PC_LC","A","2012",42.454,
"CZE","TAXWEDGE","TOT","PC_LC","A","2013",42.452,
"CZE","TAXWEDGE","TOT","PC_LC","A","2014",42.642,
"DNK","TAXWEDGE","TOT","PC_LC","A","2000",44.095,
"DNK","TAXWEDGE","TOT","PC_LC","A","2001",43.348,
"DNK","TAXWEDGE","TOT","PC_LC","A","2002",42.408,
"DNK","TAXWEDGE","TOT","PC_LC","A","2003",42.357,
"DNK","TAXWEDGE","TOT","PC_LC","A","2004",41.034,
"DNK","TAXWEDGE","TOT","PC_LC","A","2005",40.922,
"DNK","TAXWEDGE","TOT","PC_LC","A","2006",40.991,
"DNK","TAXWEDGE","TOT","PC_LC","A","2007",41.124,
"DNK","TAXWEDGE","TOT","PC_LC","A","2008",40.901,
"DNK","TAXWEDGE","TOT","PC_LC","A","2009",39.525,
"DNK","TAXWEDGE","TOT","PC_LC","A","2010",38.303,
"DNK","TAXWEDGE","TOT","PC_LC","A","2011",38.429,
"DNK","TAXWEDGE","TOT","PC_LC","A","2012",38.545,
"DNK","TAXWEDGE","TOT","PC_LC","A","2013",38.209,
"DNK","TAXWEDGE","TOT","PC_LC","A","2014",38.07,
"FIN","TAXWEDGE","TOT","PC_LC","A","2000",47.524,
"FIN","TAXWEDGE","TOT","PC_LC","A","2001",46.093,
"FIN","TAXWEDGE","TOT","PC_LC","A","2002",45.659,
"FIN","TAXWEDGE","TOT","PC_LC","A","2003",44.765,
"FIN","TAXWEDGE","TOT","PC_LC","A","2004",44.224,
"FIN","TAXWEDGE","TOT","PC_LC","A","2005",44.392,
"FIN","TAXWEDGE","TOT","PC_LC","A","2006",44.023,
"FIN","TAXWEDGE","TOT","PC_LC","A","2007",43.882,
"FIN","TAXWEDGE","TOT","PC_LC","A","2008",43.838,
"FIN","TAXWEDGE","TOT","PC_LC","A","2009",42.496,
"FIN","TAXWEDGE","TOT","PC_LC","A","2010",42.292,
"FIN","TAXWEDGE","TOT","PC_LC","A","2011",42.346,
"FIN","TAXWEDGE","TOT","PC_LC","A","2012",42.49,
"FIN","TAXWEDGE","TOT","PC_LC","A","2013",43.058,
"FIN","TAXWEDGE","TOT","PC_LC","A","2014",43.898,
"FRA","TAXWEDGE","TOT","PC_LC","A","2000",50.429,
"FRA","TAXWEDGE","TOT","PC_LC","A","2001",50.074,
